Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
000000000,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000001,00000197,false,0,4,85,08,0E,C0,00,00,00,00
000000002,00000302,false,0,7,FF,FF,FF,7F,FC,FF,FF,00
000000003,00000100,false,0,8,65,F8,7F,C0,5D,66,87,70
000000004,000003A7,false,0,7,D0,F1,00,00,1F,11,F0,00
000000005,000003E6,false,0,2,82,00,00,00,00,00,00,00
000000006,0000015F,false,0,8,76,F5,00,7D,00,EE,00,7D
000000007,0000012F,false,0,8,3B,26,86,1C,F1,35,30,00
000000008,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000009,000000A5,false,0,8,3A,F6,FF,F7,7F,00,00,C1
000000010,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000011,000000D9,false,0,8,9E,F6,00,10,00,F0,7F,C8
000000012,000000F3,false,0,8,58,06,00,FF,F0,C0,FF,FF
000000013,00000100,false,0,8,38,F9,7F,C0,5D,66,87,70
000000014,000000A5,false,0,8,3B,F8,FF,F7,7F,00,00,C1
000000015,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000016,000000D9,false,0,8,9F,F8,00,10,00,F0,7F,C8
000000017,000000F3,false,0,8,59,08,00,FF,F0,C0,FF,FF
000000018,00000100,false,0,8,51,FD,7F,C0,5D,66,87,70
000000019,00000199,false,0,6,FF,FF,B9,7E,FF,3F,00,00
000000020,0000019A,false,0,6,FF,FF,81,7E,FF,3F,00,00
000000021,0000019F,false,0,6,FF,FF,0C,80,FF,2F,00,00
000000022,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000023,00000258,false,0,2,44,44,00,00,00,00,00,00
000000024,00000206,false,0,8,66,24,5C,FF,FF,FF,FF,FF
000000025,00000163,false,0,8,FF,FF,0E,25,FF,FF,FF,FF
000000026,00000173,false,0,8,DD,FD,00,0E,30,00,DE,10
000000027,000000EF,false,0,8,3B,F7,00,7D,21,FE,7C,FF
000000028,000001A1,false,0,5,14,C4,00,00,8A,00,00,00
000000029,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000030,000002C5,false,0,7,94,F1,00,20,06,20,CA,00
