Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
000000000,000007BE,false,0,8,07,04,00,61,06,67,00,00
000000001,000000A5,false,0,8,52,FC,FF,F7,7F,00,00,C1
000000002,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000003,000000D9,false,0,8,F6,FC,00,10,00,F0,7F,C8
000000004,000000F3,false,0,8,30,0C,00,FF,F0,C0,FF,FF
000000005,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000006,00000431,false,0,8,CA,FF,FF,FF,FF,6C,F3,4B
000000007,00000100,false,0,8,64,F6,7F,C0,5D,66,87,70
000000008,000002BB,false,0,5,21,FC,00,00,F2,00,00,00
000000009,000002E8,false,0,8,C0,18,C5,FF,FF,F4,F9,51
000000010,000003FD,false,0,5,B5,09,00,00,FF,00,00,00
000000011,00000108,false,0,8,00,7D,FF,FF,07,F1,FF,FF
000000012,00000212,false,0,8,42,FA,F9,FF,FF,FF,FF,FF
000000013,000002DB,false,0,8,FF,FF,FF,FF,BF,FF,FF,FF
000000014,000002F1,false,0,8,B4,0F,00,00,00,00,00,A0
000000015,000000EF,false,0,8,80,FB,00,7D,21,FE,7C,FF
000000016,000001A1,false,0,5,88,CC,00,00,8A,00,00,00
000000017,00000397,false,0,7,00,2B,00,57,14,77,01,00
000000018,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000019,00000432,false,0,8,4C,ED,10,B1,8A,FF,00,FF
000000020,00000349,false,0,5,FE,FF,F4,1A,00,00,00,00
000000021,00000100,false,0,8,39,F7,7F,C0,5D,66,87,70
000000022,00000302,false,0,7,FF,FF,FF,7F,FC,FF,FF,00
000000023,00000199,false,0,6,FF,FF,B9,7E,FF,3F,00,00
000000024,0000019A,false,0,6,FF,FF,81,7E,FF,3F,00,00
000000025,0000019F,false,0,6,FF,FF,00,80,FF,2F,00,00
000000026,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000027,00000258,false,0,2,44,44,00,00,00,00,00,00
000000028,00000201,false,0,8,44,5B,44,5B,FF,FF,FF,FF
000000029,0000015F,false,0,8,F9,FC,00,7D,00,EE,00,7D
000000030,000002B0,false,0,6,43,4D,05,C8,FF,FF,00,00
000000031,0000043C,false,0,8,FE,FE,FF,FF,FF,FF,FF,FF
000000032,000000A5,false,0,8,0F,FD,FF,F7,7F,00,00,C1
000000033,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000034,000000D9,false,0,8,AB,FD,00,10,00,F0,7F,C8
000000035,000000F3,false,0,8,6D,0D,00,FF,F0,C0,FF,FF
000000036,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000037,00000197,false,0,4,85,08,0E,C0,00,00,00,00
000000038,00000100,false,0,8,65,F8,7F,C0,5D,66,87,70
000000039,00000206,false,0,8,0E,2E,5C,FF,FF,FF,FF,FF
000000040,000000EF,false,0,8,0E,FC,00,7D,21,FE,7C,FF
000000041,000001A1,false,0,5,AF,CE,00,00,8A,00,00,00
000000042,00000163,false,0,8,FF,FF,0D,25,FF,FF,FF,FF
000000043,00000173,false,0,8,B4,F9,00,0E,30,00,DE,10
000000044,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000045,00000100,false,0,8,38,F9,7F,C0,5D,66,87,70
000000046,000002A7,false,0,5,E6,F6,FE,FF,14,00,00,00
000000047,00000199,false,0,6,FF,FF,C3,7E,FF,3F,00,00
000000048,0000019A,false,0,6,FF,FF,8B,7E,FF,3F,00,00
000000049,0000019F,false,0,6,FF,FF,FE,7F,FF,2F,00,00
000000050,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000051,00000258,false,0,2,44,44,00,00,00,00,00,00
000000052,0000015F,false,0,8,A4,FD,00,7D,00,EE,00,7D
000000053,000000A5,false,0,8,E8,FE,FF,F7,7F,00,00,C1
000000054,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000055,000000D9,false,0,8,4C,FE,00,10,00,F0,7F,C8
000000056,000000F3,false,0,8,8A,0E,00,FF,F0,C0,FF,FF
