Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1674224,0000015F,false,Rx,0,8,90,F8,00,7D,00,EE,00,7D,
1674311,000003D2,false,Rx,0,2,F3,FF,00,00,00,00,00,00,
1674396,00000100,false,Rx,0,8,01,F0,7F,C0,5D,49,87,70,
1674481,000000A5,false,Rx,0,8,3B,F8,FF,F7,7F,00,00,C1,
1674568,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
1674654,000000D9,false,Rx,0,8,77,F8,00,10,00,F0,7F,C0,
1674747,000000F3,false,Rx,0,8,59,08,00,FF,F0,C0,FF,FF,
1674833,00000199,false,Rx,0,6,FF,FF,42,7F,FF,3F,00,00,
1674950,0000019A,false,Rx,0,6,FF,FF,28,7F,FF,3F,00,00,
1675035,0000019F,false,Rx,0,6,FF,FF,03,80,FF,2F,00,00,
1675120,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1675206,00000112,false,Rx,0,8,1A,20,8F,0E,A5,71,65,5D,
1675291,00000258,false,Rx,0,2,44,44,00,00,00,00,00,00,
1675376,000000EF,false,Rx,0,8,64,F8,00,7D,21,FC,7C,FF,
1675462,000001A1,false,Rx,0,5,33,C6,00,00,8A,00,00,00,
1675550,00000100,false,Rx,0,8,5C,F1,7F,C0,5D,49,87,70,
1675636,00000112,false,Rx,0,8,1A,20,8F,0E,A5,71,65,5D,
1680436,0000015F,false,Rx,0,8,CD,F9,00,7D,00,EE,00,7D,
1681135,00000100,false,Rx,0,8,BB,F2,7F,C0,5D,49,87,70,
1682979,000000A5,false,Rx,0,8,66,F9,FF,F7,7F,00,00,C1,
1683178,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
1683376,000000D9,false,Rx,0,8,2A,F9,00,10,00,F0,7F,C0,
1683661,000000F3,false,Rx,0,8,04,09,00,FF,F0,C0,FF,FF,
1683867,00000199,false,Rx,0,6,FF,FF,24,7F,FF,3F,00,00,
1684067,0000019A,false,Rx,0,6,FF,FF,1E,7F,FF,3F,00,00,
1684266,0000019F,false,Rx,0,6,FF,FF,00,80,FF,2F,00,00,
1684464,00000206,false,Rx,0,8,F1,25,5F,FF,FF,FF,FF,FF,
1684756,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1684874,00000258,false,Rx,0,2,44,44,00,00,00,00,00,00,
1685072,00000112,false,Rx,0,8,1A,20,8E,0E,A5,71,65,5D,
1685190,000002A5,false,Rx,0,2,FE,FE,00,00,00,00,00,00,
1685469,000007BD,false,Rx,0,8,00,00,00,40,FF,C0,01,08,
1685760,000007BE,false,Rx,0,8,05,00,00,00,00,00,00,E0,
1686122,00000348,false,Rx,0,8,B7,9D,0A,7F,FE,6F,11,3A,
1687553,0000019B,false,Rx,0,8,AE,47,40,55,FD,FF,FF,FF,
1687671,00000197,false,Rx,0,4,8A,02,0E,C0,00,00,00,00,
1688943,00000200,false,Rx,0,8,00,00,79,00,3F,14,FA,FF,
1689884,00000246,false,Rx,0,5,3F,FB,00,FF,FF,00,00,00,
1690164,00000299,false,Rx,0,6,FF,FF,FF,FF,FF,00,00,00,
1690444,000000EF,false,Rx,0,8,F7,F9,00,7D,21,00,7D,FF,
1690981,00000100,false,Rx,0,8,E6,F3,7F,C0,5D,49,87,70,
1691098,000001A1,false,Rx,0,5,C6,C8,00,00,8A,00,00,00,
