Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1619891,00000112,false,Rx,0,8,F9,1F,84,0E,A2,71,B5,5D,
1619977,000002C4,false,Rx,0,8,00,00,FF,00,C8,64,FF,CF,
1620063,000000A5,false,Rx,0,8,DD,F5,FF,F7,7F,00,00,C1,
1620148,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
1620233,000000D9,false,Rx,0,8,91,F5,00,10,00,F0,7F,C0,
1620319,000000F3,false,Rx,0,8,BF,05,00,FF,F0,C0,FF,FF,
1620404,00000304,false,Rx,0,6,FF,FF,F4,39,FF,FF,00,00,
1620490,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1620577,00000258,false,Rx,0,2,44,44,00,00,00,00,00,00,
1620662,000001AE,false,Rx,0,2,F7,FF,00,00,00,00,00,00,
1620755,00000199,false,Rx,0,6,FF,FF,42,7F,FF,BF,00,00,
1620840,0000019A,false,Rx,0,6,FF,FF,28,7F,FF,3F,00,00,
1620926,0000019F,false,Rx,0,6,FF,FF,F7,7F,FF,2F,00,00,
1621011,00000510,false,Rx,0,8,40,10,20,00,00,00,00,00,
1621097,000000EF,false,Rx,0,8,4C,F5,00,7D,21,00,7D,FF,
1621182,000001A1,false,Rx,0,5,5A,C0,00,00,8A,00,00,00,
1621267,00000100,false,Rx,0,8,EC,FA,7F,C0,5D,44,87,70,
1621353,0000043D,false,Rx,0,8,0A,FE,EB,FF,1E,A7,00,F0,
1621438,00000112,false,Rx,0,8,F9,1F,84,0E,A2,71,B5,5D,
1621525,000000C0,false,Rx,0,2,F0,40,00,00,00,00,00,00,
1621610,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
1623537,0000015F,false,Rx,0,8,91,F6,00,7D,00,EE,00,7D,
1624561,00000197,false,Rx,0,4,89,00,0E,C0,00,00,00,00,
1625583,00000163,false,Rx,0,8,FF,FF,F0,A4,FF,FF,FF,FF,
1625783,000000A9,false,Rx,0,8,10,78,00,90,F1,00,00,FF,
1626064,00000173,false,Rx,0,8,0E,FB,00,0E,30,00,DE,10,
1626262,00000100,false,Rx,0,8,B1,FB,7F,C0,5D,44,87,70,
1626626,00000112,false,Rx,0,8,F9,1F,84,0E,A2,71,B5,5D,
1628224,000002E8,false,Rx,0,8,C0,18,C5,FF,FF,F4,FE,02,
1628505,00000302,false,Rx,0,7,FF,FF,D4,7F,FC,FF,FF,00,
1628706,000000A5,false,Rx,0,8,3A,F6,FF,F7,7F,00,00,C1,
1628912,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
1629111,000000D9,false,Rx,0,8,76,F6,00,10,00,F0,7F,C0,
1629391,000000F3,false,Rx,0,8,58,06,00,FF,F0,C0,FF,FF,
1629592,00000108,false,Rx,0,8,00,7D,FF,FF,07,F1,FF,FF,
1629881,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1629999,00000258,false,Rx,0,2,44,44,00,00,00,00,00,00,
1630198,00000301,false,Rx,0,7,FF,FF,D9,7F,FF,FF,CF,00,
1630397,000003FD,false,Rx,0,5,3E,03,20,00,FF,00,00,00,
1630598,000002BB,false,Rx,0,5,64,F2,C4,09,F2,00,00,00,
1630805,00000206,false,Rx,0,8,F0,2B,5F,FF,FF,FF,FF,FF,
1631085,00000212,false,Rx,0,8,CD,F3,F9,FF,FF,FF,FF,FF,
