Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4266856,00000112,false,Rx,0,8,1A,20,90,0E,A6,71,55,5D,
4266943,00000197,false,Rx,0,4,80,0E,0E,C0,00,00,00,00,
4267028,000002B0,false,Rx,0,6,38,40,03,C9,FF,FF,00,00,
4267113,000000EF,false,Rx,0,8,C3,FC,00,7D,21,00,7D,FF,
4267199,00000100,false,Rx,0,8,8E,F9,7F,C0,5D,49,87,70,
4267284,000001A1,false,Rx,0,5,AF,CE,00,00,8A,00,00,00,
4267370,00000199,false,Rx,0,6,FF,FF,42,7F,FF,3F,00,00,
4267455,0000019A,false,Rx,0,6,FF,FF,1E,7F,FF,3F,00,00,
4267546,0000019F,false,Rx,0,6,FF,FF,FA,7F,FF,2F,00,00,
4267631,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
4267724,00000258,false,Rx,0,2,44,44,00,00,00,00,00,00,
4267810,00000302,false,Rx,0,7,FF,FF,D4,7F,FC,FF,FF,00,
4267895,000003C3,false,Rx,0,8,70,1C,49,02,00,00,00,00,
4267980,00000112,false,Rx,0,8,1A,20,90,0E,A6,71,55,5D,
4268066,000002F5,false,Rx,0,8,60,0F,7E,20,22,0A,06,10,
4268151,0000012F,false,Rx,0,8,27,20,88,1D,F1,35,30,80,
4268237,0000036E,false,Rx,0,5,C9,F0,FE,FF,14,00,00,00,
4268322,0000015F,false,Rx,0,8,A4,FD,00,7D,00,EE,00,7D,
4268408,00000100,false,Rx,0,8,69,FA,7F,C0,5D,49,87,70,
4268608,000000A5,false,Rx,0,8,0F,FD,FF,F7,7F,00,00,C1,
4268814,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
4269013,000000D9,false,Rx,0,8,43,FD,00,10,00,F0,7F,C0,
4269293,000000F3,false,Rx,0,8,6D,0D,00,FF,F0,C0,FF,FF,
4271632,00000112,false,Rx,0,8,1A,20,90,0E,A6,71,55,5D,
4272490,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
4276548,000000EF,false,Rx,0,8,9E,FD,00,7D,21,00,7D,FF,
4276836,00000100,false,Rx,0,8,34,FB,7F,C0,5D,49,87,70,
4277116,000001A1,false,Rx,0,5,C7,C1,00,00,8A,00,00,00,
4279533,00000199,false,Rx,0,6,FF,FF,42,7F,FF,3F,00,00,
4279738,0000019A,false,Rx,0,6,FF,FF,32,7F,FF,3F,00,00,
4279937,0000019F,false,Rx,0,6,FF,FF,0E,80,FF,2F,00,00,
4280137,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
4280254,00000258,false,Rx,0,2,44,44,00,00,00,00,00,00,
4281622,00000112,false,Rx,0,8,1A,20,90,0E,A6,71,55,5D,
4285625,00000197,false,Rx,0,4,89,00,0E,C0,00,00,00,00,
4286496,0000015F,false,Rx,0,8,43,FE,00,7D,00,EE,00,7D,
4286698,00000100,false,Rx,0,8,BA,FC,7F,C0,5D,49,87,70,
4288299,000000A5,false,Rx,0,8,E8,FE,FF,F7,7F,00,00,C1,
4288417,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
4288699,000000D9,false,Rx,0,8,A4,FE,00,10,00,F0,7F,C0,
4288907,000000F3,false,Rx,0,8,8A,0E,00,FF,F0,C0,FF,FF,
4289847,00000206,false,Rx,0,8,3C,20,60,FF,FF,FF,FF,FF,
4290617,00000348,false,Rx,0,8,B7,9D,0A,7F,FE,2A,52,3A,
4290743,000002A5,false,Rx,0,2,CE,FE,00,00,00,00,00,00,
4291594,00000112,false,Rx,0,8,1A,20,90,0E,A6,71,55,5D,
4293519,0000019B,false,Rx,0,8,C7,43,40,55,FD,FF,FF,FF,
4293971,000007BD,false,Rx,0,8,04,00,01,02,00,00,00,80,
4294251,000007BE,false,Rx,0,8,00,C0,FA,1C,12,00,00,00,
4296501,000000EF,false,Rx,0,8,79,FE,00,7D,21,00,7D,FF,
4296790,00000100,false,Rx,0,8,E7,FD,7F,C0,5D,49,87,70,
4297070,000001A1,false,Rx,0,5,E0,C3,00,00,8A,00,00,00,
4298662,000002F2,false,Rx,0,6,00,00,00,00,FF,FF,00,00,
4298869,0000019D,false,Rx,0,8,A3,98,F5,05,FF,FF,FF,FF,
4299068,000001B3,false,Rx,0,8,FC,12,00,F1,00,78,8A,B8,
4299348,000002C5,false,Rx,0,7,5D,F2,00,20,04,20,CA,00,
4299553,00000362,false,Rx,0,7,C2,40,02,C2,40,02,EA,00,
4299759,00000199,false,Rx,0,6,FF,FF,2E,7F,FF,3F,00,00,
4299958,0000019A,false,Rx,0,6,FF,FF,28,7F,FF,3F,00,00,
4300156,0000019F,false,Rx,0,6,FF,FF,F6,7F,FF,2F,00,00,
4300436,00000201,false,Rx,0,8,10,0E,10,0E,FF,FF,FF,FF,
4300730,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
4300848,00000258,false,Rx,0,2,44,44,00,00,00,00,00,00,
4301047,00000302,false,Rx,0,7,FF,FF,D4,7F,FC,FF,FF,00,
4301657,00000112,false,Rx,0,8,1A,20,90,0E,A6,71,55,5D,
4303417,000002A7,false,Rx,0,5,7A,FE,FE,FF,14,00,00,00,
4306489,0000015F,false,Rx,0,8,42,F0,00,7D,00,EE,00,7D,
4306778,00000100,false,Rx,0,8,00,FE,7F,C0,5D,49,87,70,
4308288,000002C4,false,Rx,0,8,00,00,FF,00,C8,64,FF,CF,
4308487,000000A5,false,Rx,0,8,E9,F0,FF,F7,7F,00,00,C1,
