Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
000000000,00000540,false,0,8,00,00,00,00,0D,34,FF,40
000000001,000001D6,false,0,2,F0,CC,00,00,00,00,00,00
000000002,000001EE,false,0,2,00,FC,00,00,00,00,00,00
000000003,000002A6,false,0,2,00,CA,00,00,00,00,00,00
000000004,000002CF,false,0,2,FA,FF,00,00,00,00,00,00
000000005,000002FC,false,0,8,81,15,00,FF,FF,FF,FF,FF
000000006,00000314,false,0,3,FF,FF,FF,00,00,00,00,00
000000007,00000349,false,0,5,FE,FF,F4,1A,00,00,00,00
000000008,000003AC,false,0,2,FE,CF,00,00,00,00,00,00
000000009,000003BE,false,0,3,1C,F0,00,00,00,00,00,00
000000010,0000012F,false,0,8,5D,28,86,1A,F1,31,30,00
000000011,000001E1,false,0,6,93,F7,45,FF,FF,FF,00,00
000000012,000001EE,false,0,2,00,FC,00,00,00,00,00,00
000000013,0000012F,false,0,8,F5,29,86,1A,F1,B1,30,C0
000000014,000003A0,false,0,8,FF,FF,C0,FF,FF,FF,FF,FD
000000015,000003A5,false,0,5,E1,D5,FF,FF,FF,00,00,00
000000016,00000510,false,0,8,40,10,20,00,00,00,00,00
000000017,0000012F,false,0,8,73,2A,86,1C,F1,B1,30,C0
000000018,000002C5,false,0,7,23,FF,00,60,C6,20,CA,00
000000019,000002CA,false,0,2,80,81,00,00,00,00,00,00
000000020,000002F7,false,0,6,0E,D8,49,09,11,F1,00,00
000000021,000002F8,false,0,8,0B,2F,2F,17,57,E5,07,F5
000000022,00000328,false,0,6,08,36,2E,0B,86,1E,00,00
000000023,00000330,false,0,8,FE,2E,01,02,00,FF,7C,09
000000024,00000356,false,0,8,6F,F0,06,FF,FF,FF,FF,FF
000000025,00000373,false,0,6,73,F0,06,28,F0,FF,00,00
000000026,00000393,false,0,4,FF,FF,FF,FF,00,00,00,00
000000027,0000012F,false,0,8,94,2B,86,1C,F2,B1,30,C0
000000028,00000336,false,0,7,00,00,00,FE,FF,FE,FF,00
000000029,000005E0,false,0,8,11,04,00,03,06,28,D5,01
000000030,000007BE,false,0,8,06,01,20,00,00,01,83,00
000000031,000000A9,false,0,8,00,7D,00,90,F1,00,00,FF
000000032,000001AE,false,0,2,F7,FF,00,00,00,00,00,00
000000033,000000C0,false,0,2,FD,40,00,00,00,00,00,00
000000034,0000003C,false,0,8,FF,5F,00,00,00,00,FF,FF
000000035,000002A1,false,0,5,80,58,02,00,FA,00,00,00
000000036,0000012F,false,0,8,1A,2C,86,1C,F2,B1,30,C0
000000037,00000397,false,0,7,00,2A,00,54,14,77,01,00
000000038,000002B0,false,0,6,3C,44,00,C3,FF,FF,00,00
000000039,000002A6,false,0,2,00,CA,00,00,00,00,00,00
000000040,000003AC,false,0,2,FE,CF,00,00,00,00,00,00
000000041,000002FC,false,0,8,81,15,00,FF,FF,FF,FF,FF
000000042,00000314,false,0,3,FF,FF,FF,00,00,00,00,00
000000043,000003BE,false,0,3,47,F0,00,00,00,00,00,00
000000044,000002C5,false,0,7,C3,F0,00,70,C6,20,CA,00
000000045,00000337,false,0,2,FF,FF,00,00,00,00,00,00
000000046,000003B4,false,0,8,00,FF,30,F0,B8,FF,00,FD
000000047,00000540,false,0,8,00,00,00,00,0D,34,FF,40
000000048,00000364,false,0,5,00,A0,FC,FF,FF,00,00,00
000000049,000003CA,false,0,8,81,70,37,04,04,80,FF,FF
000000050,000007BD,false,0,8,00,00,00,C0,FF,40,01,01
000000051,00000197,false,0,4,64,E0,9E,C0,00,00,00,00
000000052,000003D2,false,0,2,F3,FF,00,00,00,00,00,00
000000053,00000510,false,0,8,40,10,20,00,00,00,00,00
000000054,000002C3,false,0,5,FF,FF,FF,FF,FF,00,00,00
000000055,00000197,false,0,4,06,01,0E,C0,00,00,00,00
000000056,00000272,false,0,8,CF,F1,00,11,FF,FF,FF,FF
000000057,00000390,false,0,4,00,00,00,00,00,00,00,00
000000058,000001D0,false,0,8,6C,F0,DF,FF,FF,FF,FF,FF
000000059,000002C4,false,0,8,FF,FF,FF,64,64,64,FF,FF
000000060,000000A5,false,0,8,4A,F0,FF,F7,7F,FF,FF,FF
000000061,000000AC,false,0,2,FF,F7,00,00,00,00,00,00
000000062,000000D9,false,0,8,64,F0,FF,FF,FF,EF,7F,FF
000000063,000000F3,false,0,8,85,F0,FF,FF,F0,FF,FF,FF
000000064,00000304,false,0,6,FF,FF,FF,FF,FF,FF,00,00
000000065,000003F9,false,0,8,8A,F0,FF,F3,30,30,CF,FF
000000066,00000340,false,0,2,FC,FF,00,00,00,00,00,00
000000067,00000389,false,0,2,FF,F0,00,00,00,00,00,00
000000068,00000592,false,0,8,01,00,00,FF,FF,FF,FF,FF
000000069,000001B9,false,0,5,FF,FF,FF,00,FF,00,00,00
000000070,000003B3,false,0,7,0F,00,00,00,00,F0,08,00
000000071,000003F9,false,0,8,35,F1,80,C0,A6,30,C0,FF
000000072,000003B4,false,0,8,00,FF,31,F0,B8,FF,00,FD
000000073,00000509,false,0,8,00,00,00,00,6E,32,00,09
000000074,000001EE,false,0,2,00,FC,00,00,00,00,00,00
000000075,0000015F,false,0,8,1F,F1,00,7D,00,EE,00,7D
000000076,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000077,00000173,false,0,8,2F,F1,00,0E,E0,00,DE,00
000000078,00000163,false,0,8,FF,FF,00,85,FF,FF,FF,FF
000000079,00000258,false,0,2,44,44,00,00,00,00,00,00
000000080,00000302,false,0,7,FF,FF,FF,7F,F8,FF,FF,00
000000081,000002ED,false,0,3,C3,01,00,00,00,00,00,00
000000082,00000199,false,0,6,FF,FF,F3,7E,FF,8F,00,00
000000083,0000019A,false,0,6,FF,FF,F3,7E,FF,8F,00,00
000000084,0000019F,false,0,6,FF,FF,00,80,FF,8F,00,00
000000085,00000301,false,0,7,FF,FF,FF,7F,FF,FF,8F,00
000000086,000002BB,false,0,5,9A,F6,00,00,F2,00,00,00
000000087,000002F5,false,0,8,00,0F,0A,20,40,0B,D4,1E
000000088,000000A9,false,0,8,50,78,00,90,F1,00,00,FF
000000089,000001F9,false,0,2,FD,FF,00,00,00,00,00,00
000000090,00000108,false,0,8,00,00,FF,00,00,F0,FF,FF
000000091,000003FD,false,0,5,29,01,00,00,FF,00,00,00
000000092,00000201,false,0,8,00,00,00,00,FF,FF,FF,FF
000000093,00000206,false,0,8,98,21,5F,FF,FF,FF,FF,FF
000000094,000001AE,false,0,2,F7,FF,00,00,00,00,00,00
000000095,00000212,false,0,8,31,F1,F8,FF,FF,FF,FF,FF
000000096,000000A5,false,0,8,B4,F1,FF,F7,7F,00,00,C1
000000097,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000098,000000D9,false,0,8,10,F1,00,10,00,F0,7F,C8
000000099,000000EF,false,0,8,25,F1,00,7D,21,00,7D,FF
000000100,000000F3,false,0,8,D6,01,00,FF,F0,C0,FF,FF
000000101,00000197,false,0,4,8A,02,0E,C0,00,00,00,00
000000102,000001A1,false,0,5,09,C6,00,00,88,00,00,00
000000103,000002DB,false,0,8,FF,FF,FF,FF,3F,FF,FF,FF
