Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
24085093,00000337,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
24085370,000003B4,false,Rx,0,8,00,00,0C,F0,B8,FF,00,FF,
24091436,000003A0,false,Rx,0,8,FF,FF,C0,FF,FF,FF,FF,FD,
24091623,000003A5,false,Rx,0,5,E1,D5,FF,FF,FF,00,00,00,
24091874,00000510,false,Rx,0,8,40,10,20,00,00,00,00,00,
24094374,000002FC,false,Rx,0,8,81,00,01,FF,FF,FF,FF,FF,
24096540,00000242,false,Rx,0,5,D1,F3,FF,FF,FF,00,00,00,
24097125,000002E6,false,Rx,0,8,00,64,64,32,0B,00,1F,20,
24097386,000001D6,false,Rx,0,2,F0,CC,00,00,00,00,00,00,
24097521,000001EE,false,Rx,0,2,00,FC,00,00,00,00,00,00,
24097647,000002A6,false,Rx,0,2,00,AC,00,00,00,00,00,00,
24097784,000002CF,false,Rx,0,2,FA,FF,00,00,00,00,00,00,
24097930,000002F0,false,Rx,0,3,35,DD,F0,00,00,00,00,00,
24098159,000002F9,false,Rx,0,7,00,00,00,08,01,C0,F3,00,
24098317,00000314,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
24098495,00000349,false,Rx,0,5,FE,FF,3E,08,00,00,00,00,
24098633,000003AC,false,Rx,0,2,FE,CF,00,00,00,00,00,00,
24098779,000003BE,false,Rx,0,3,3D,F0,00,00,00,00,00,00,
24102975,0000012F,false,Rx,0,8,86,2A,86,1C,F1,31,30,00,
24106892,000001EE,false,Rx,0,2,00,FC,00,00,00,00,00,00,
24107919,000001E1,false,Rx,0,6,61,F3,00,FF,FF,FF,00,00,
24108442,000001AE,false,Rx,0,2,FB,FF,00,00,00,00,00,00,
24117294,0000019D,false,Rx,0,8,1A,DA,03,07,FF,FF,FF,FF,
24117520,000002C5,false,Rx,0,7,F5,FF,00,30,C4,70,C8,00,
24117659,000002CA,false,Rx,0,2,71,72,00,00,00,00,00,00,
24117867,000002F7,false,Rx,0,6,02,D8,8A,0B,11,F2,00,00,
24118118,000002F8,false,Rx,0,8,0B,0D,2F,06,67,E5,07,F1,
24118328,00000328,false,Rx,0,6,2B,4D,57,0E,94,1E,00,00,
24118579,00000330,false,Rx,0,8,BC,CB,01,07,00,FF,9C,0A,
24122303,00000356,false,Rx,0,8,1F,F0,01,FF,FF,FF,FF,FF,
24122519,00000373,false,Rx,0,6,32,31,03,76,F0,FF,00,00,
24122708,00000393,false,Rx,0,4,FF,FF,FF,FF,00,00,00,00,
24124498,000000A9,false,Rx,0,8,00,7D,00,90,F1,00,00,FF,
24125167,00000390,false,Rx,0,4,F0,FF,FF,FF,00,00,00,00,
24127949,0000012F,false,Rx,0,8,DB,2B,86,1C,F1,31,30,00,
24129927,000005E3,false,Rx,0,8,01,00,A1,FF,FF,FF,FF,FF,
24130053,000003BB,false,Rx,0,2,02,FF,00,00,00,00,00,00,
24133172,000000C0,false,Rx,0,2,F0,40,00,00,00,00,00,00,
24133417,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
24134408,000002A1,false,Rx,0,5,00,58,02,00,F0,00,00,00,
24142318,00000336,false,Rx,0,7,00,00,00,FE,FF,FE,FF,00,
24142585,000007BE,false,Rx,0,8,06,01,20,00,00,01,83,00,
24144395,00000397,false,Rx,0,7,00,2A,00,75,09,28,01,00,
24148763,00000300,false,Rx,0,8,1D,1E,59,96,65,59,96,65,
24154377,000002B0,false,Rx,0,6,3D,45,00,CD,FF,FF,00,00,
24164155,00000197,false,Rx,0,4,64,E0,9E,C0,00,00,00,00,
24172243,000002C5,false,Rx,0,7,30,F0,00,30,C4,70,C8,00,
24173991,0000038E,false,Rx,0,8,00,00,0B,0B,A9,09,DA,FF,
24174311,000003D2,false,Rx,0,2,F3,FF,00,00,00,00,00,00,
24180617,00000514,false,Rx,0,8,00,00,00,00,E0,0A,00,14,
24185290,00000272,false,Rx,0,8,BB,F2,FC,02,FF,FF,FF,FF,
24189216,00000510,false,Rx,0,8,40,10,20,00,00,00,00,00,
24190204,00000514,false,Rx,0,8,00,00,00,00,E0,0A,00,14,
24192296,00000364,false,Rx,0,5,00,A0,FC,FF,FF,00,00,00,
24192557,000003CA,false,Rx,0,8,95,E0,15,07,07,80,FF,FF,
24192820,000005E0,false,Rx,0,8,11,03,00,04,06,00,C4,1B,
24193083,000007BD,false,Rx,0,8,00,00,00,C0,FF,40,01,01,
24194034,000002E7,false,Rx,0,8,BC,C0,07,FF,DF,FF,00,00,
24194202,00000197,false,Rx,0,4,06,01,0E,C0,00,00,00,00,
24206552,000001D0,false,Rx,0,8,6C,F0,DF,FF,FF,FF,FF,FF,
24206791,000002C4,false,Rx,0,8,FF,FF,FF,64,64,64,FF,FF,
24207021,000000A5,false,Rx,0,8,4A,F0,FF,F7,7F,FF,FF,FF,
24207158,000000AC,false,Rx,0,2,FF,F7,00,00,00,00,00,00,
24207397,000000D9,false,Rx,0,8,64,F0,FF,FF,FF,EF,7F,FF,
24207641,000000F3,false,Rx,0,8,85,F0,FF,FF,F0,FF,FF,FF,
24207767,000002A6,false,Rx,0,2,00,AC,00,00,00,00,00,00,
24207986,00000304,false,Rx,0,6,FF,FF,FF,FF,FF,FF,00,00,
24208143,00000314,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
24208269,000003AC,false,Rx,0,2,FE,CF,00,00,00,00,00,00,
24208405,000001AE,false,Rx,0,2,FB,FF,00,00,00,00,00,00,
24208561,000003BE,false,Rx,0,3,3D,F0,00,00,00,00,00,00,
24208795,000003F9,false,Rx,0,8,8A,F0,FF,F3,30,30,CF,FF,
24210992,00000246,false,Rx,0,5,3F,FB,00,FF,FF,00,00,00,
24211232,00000299,false,Rx,0,6,FF,FF,FF,FF,FF,00,00,00,
24211484,0000037B,false,Rx,0,6,40,00,00,FF,FF,00,00,00,
24211621,00000340,false,Rx,0,2,FC,FF,00,00,00,00,00,00,
24211747,00000389,false,Rx,0,2,FF,F0,00,00,00,00,00,00,
24211934,000001B9,false,Rx,0,5,FF,FF,FF,00,FF,00,00,00,
24212165,000003B3,false,Rx,0,7,0F,00,00,00,00,F0,08,00,
24212374,000003E4,false,Rx,0,6,00,00,00,00,FF,FF,00,00,
24212616,000003F9,false,Rx,0,8,35,F1,80,C0,A6,30,C0,FF,
24212868,00000592,false,Rx,0,8,01,00,00,FF,FF,FF,FF,FF,
24213056,000002C3,false,Rx,0,5,F8,FF,FF,FF,FF,00,00,00,
24215202,00000509,false,Rx,0,8,00,00,00,00,6E,32,00,09,
24220483,0000015F,false,Rx,0,8,1F,F1,00,7D,00,EE,00,7D,
24220733,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
24220964,00000173,false,Rx,0,8,2F,F1,00,0E,E0,00,DE,00,
24221215,00000163,false,Rx,0,8,FF,FF,00,85,FF,FF,FF,FF,
24221342,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
24221572,00000302,false,Rx,0,7,FF,FF,FF,7F,F8,FF,FF,00,
24222548,0000013A,false,Rx,0,8,0D,F5,00,00,00,0E,FF,FF,
24223363,000002ED,false,Rx,0,3,C3,01,00,00,00,00,00,00,
24224156,00000197,false,Rx,0,4,8A,02,0E,C0,00,00,00,00,
24224470,000000A9,false,Rx,0,8,70,78,00,90,F1,00,00,FF,
24225640,00000199,false,Rx,0,6,FF,FF,F3,7E,FF,8F,00,00,
24225839,0000019A,false,Rx,0,6,FF,FF,F3,7E,FF,8F,00,00,
24226049,0000019F,false,Rx,0,6,FF,FF,00,80,FF,8F,00,00,
24226300,00000108,false,Rx,0,8,00,00,FF,00,00,F0,FF,FF,
24226520,00000301,false,Rx,0,7,FF,FF,FF,7F,FF,FF,8F,00,
24226756,000000A5,false,Rx,0,8,B4,F1,FF,F7,7F,00,00,C1,
24226893,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
24227132,000000D9,false,Rx,0,8,10,F1,00,10,00,F0,7F,C8,
24227373,000000F3,false,Rx,0,8,D6,01,00,FF,F0,C0,FF,FF,
24227553,000002BB,false,Rx,0,5,9A,F6,00,00,F2,00,00,00,
24227794,00000289,false,Rx,0,8,54,F0,E0,FF,FD,00,EC,01,
24228014,0000012F,false,Rx,0,8,55,2C,86,1C,F1,31,30,00,
24228202,000003FD,false,Rx,0,5,29,01,00,00,FF,00,00,00,
24228464,00000201,false,Rx,0,8,00,00,00,00,FF,FF,FF,FF,
24228708,00000206,false,Rx,0,8,DB,21,5A,FF,FF,FF,FF,FF,
24228959,00000212,false,Rx,0,8,31,F1,F8,FF,FF,FF,FF,FF,
24229211,000002DB,false,Rx,0,8,FF,FF,FF,FF,3F,FF,FF,FF,
24229472,000002F1,false,Rx,0,8,00,00,00,00,00,00,00,00,
24229725,000002FA,false,Rx,0,8,00,00,00,FF,FF,FF,FF,FF,
24229977,0000032B,false,Rx,0,8,00,00,00,00,00,00,00,FF,
24230228,00000331,false,Rx,0,8,FF,FF,FF,0F,00,FE,F7,FF,
24230365,0000038C,false,Rx,0,2,FC,FF,00,00,00,00,00,00,
