Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
265003377,000002C5,false,Rx,0,7,F0,F1,00,20,06,70,C8,00,
265003698,00000199,false,Rx,0,6,FF,FF,C9,7D,FF,3F,00,00,
265003902,0000019A,false,Rx,0,6,FF,FF,14,7F,FF,3F,00,00,
265004112,0000019F,false,Rx,0,6,FF,FF,EF,7F,FF,2F,00,00,
265004360,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
265004598,000000C3,false,Rx,0,8,C9,75,00,40,00,7D,FF,FF,
265004733,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
265007193,0000019B,false,Rx,0,8,AE,47,40,55,FD,FF,FF,FF,
265009570,00000112,false,Rx,0,8,C0,24,65,0E,1B,72,65,5C,
265010176,0000015F,false,Rx,0,8,42,F0,00,7D,00,EE,00,7D,
265011455,00000100,false,Rx,0,8,90,F6,7F,C0,5D,35,87,70,
265012166,0000013A,false,Rx,0,8,83,F2,00,00,00,0E,FF,FF,
265012817,000002E8,false,Rx,0,8,C0,E8,C3,FF,FF,F4,F0,09,
265014455,000003FD,false,Rx,0,5,0F,0A,00,00,FF,00,00,00,
265014693,00000108,false,Rx,0,8,00,7D,FF,00,48,F1,FF,FF,
265014932,000000C3,false,Rx,0,8,2E,76,00,40,00,7D,FF,FF,
265015182,000001B5,false,Rx,0,8,08,48,52,73,FF,FF,FF,FF,
265015420,00000206,false,Rx,0,8,91,26,F3,FF,FF,FF,FF,FF,
265015670,00000212,false,Rx,0,8,A4,F7,F9,FF,FF,FF,FF,FF,
265015935,000002DB,false,Rx,0,8,FF,FF,FF,FF,BF,FF,FF,FF,
265016164,000002F1,false,Rx,0,8,37,10,7D,74,01,73,00,A0,
265016414,0000032B,false,Rx,0,8,FF,FF,FF,FF,FF,FF,00,FF,
265016672,00000331,false,Rx,0,8,FF,FF,FF,EF,7F,FE,F7,FF,
265016921,000000A5,false,Rx,0,8,66,F9,FF,F7,7F,00,00,C1,
265017047,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
265017285,000000D9,false,Rx,0,8,2A,F9,00,10,00,F0,7F,C0,
265017534,000000F3,false,Rx,0,8,04,09,00,FF,F0,C0,FF,FF,
265017690,00000197,false,Rx,0,4,85,08,0E,C0,00,00,00,00,
265017918,000003E9,false,Rx,0,8,5C,8F,21,11,73,7D,20,44,
265018151,00000297,false,Rx,0,7,49,E6,F0,ED,F2,92,EA,00,
265019554,00000112,false,Rx,0,8,C0,24,65,0E,1B,72,65,5C,
265020172,000000EF,false,Rx,0,8,78,F0,00,7D,21,00,7D,FF,
265020708,000001A1,false,Rx,0,5,E0,C3,00,00,8A,00,00,00,
265021174,00000140,false,Rx,0,8,BF,63,40,9C,00,00,94,FF,
265021402,00000141,false,Rx,0,8,AE,73,40,9C,00,00,F4,FF,
265021640,00000100,false,Rx,0,8,CD,F7,7F,C0,5D,35,87,70,
