Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
559065705,00000163,false,Rx,0,8,FF,FF,41,25,FF,FF,FF,FF,
559065939,00000173,false,Rx,0,8,11,F2,00,02,20,00,D2,10,
559067087,000000A5,false,Rx,0,8,0E,F3,FF,F7,7F,00,00,C1,
559067222,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
559067460,000000D9,false,Rx,0,8,42,F3,00,10,00,F0,7F,C0,
559067699,000000F3,false,Rx,0,8,6C,03,00,FF,F0,C0,FF,FF,
559068149,00000100,false,Rx,0,8,17,FA,7F,C0,5D,1D,87,70,
559068419,00000112,false,Rx,0,8,BE,24,31,0E,CB,71,25,5B,
559070109,000000EF,false,Rx,0,8,F7,F9,00,7D,21,00,7D,FF,
559070677,000000C3,false,Rx,0,8,95,7A,00,40,00,7D,FF,FF,
559070864,000001A1,false,Rx,0,5,FC,C6,00,00,81,00,00,00,
559071144,00000140,false,Rx,0,8,8B,66,40,9C,00,00,94,FF,
559071383,00000141,false,Rx,0,8,9A,76,40,9C,00,00,F4,FF,
559073130,0000037F,false,Rx,0,2,FF,DA,00,00,00,00,00,00,
559074023,00000096,false,Rx,0,8,58,00,68,96,01,FF,FF,FF,
559075693,00000199,false,Rx,0,6,FF,FF,BF,7D,FF,3F,00,00,
559075908,0000019A,false,Rx,0,6,FF,FF,32,7F,FF,2F,00,00,
559076107,0000019F,false,Rx,0,6,FF,FF,F7,7F,FF,2F,00,00,
559076355,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
559076480,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
559077141,0000019B,false,Rx,0,8,15,4B,40,55,FD,FF,FF,FF,
559077410,00000348,false,Rx,0,8,00,00,0D,53,FE,E5,9A,CB,
559078036,00000100,false,Rx,0,8,4F,FB,7F,C0,5D,1B,87,70,
559078635,00000112,false,Rx,0,8,BE,24,31,0E,CB,71,25,5B,
559080017,000002E8,false,Rx,0,8,C0,E8,C3,FF,FF,F4,F8,E1,
559080255,0000015F,false,Rx,0,8,2A,FA,00,7D,00,EE,00,7D,
559080628,000003FD,false,Rx,0,5,A3,02,20,00,FF,00,00,00,
559080866,00000108,false,Rx,0,8,00,7D,FF,00,48,F1,FF,FF,
559081105,000000C3,false,Rx,0,8,C8,7B,00,40,00,7D,FF,FF,
559081344,000001B5,false,Rx,0,8,6D,4C,B2,71,FF,FF,FF,FF,
559081603,00000206,false,Rx,0,8,44,2B,CF,FF,FF,FF,FF,FF,
559081862,00000212,false,Rx,0,8,2A,F0,F9,FF,FF,FF,FF,FF,
559082093,0000013A,false,Rx,0,8,B7,F7,00,00,00,0E,FF,FF,
559082341,000002DB,false,Rx,0,8,FF,FF,FF,FF,BF,FF,FF,FF,
559082579,000002F1,false,Rx,0,8,37,10,7D,A4,01,92,00,A0,
559082838,0000032B,false,Rx,0,8,00,00,00,00,FF,FF,00,FF,
559083079,00000331,false,Rx,0,8,FF,FF,FF,EF,7F,FE,F7,FF,
559083286,00000350,false,Rx,0,6,F7,FF,FF,FF,FF,FF,00,00,
559083524,000003E9,false,Rx,0,8,5C,8F,21,C1,70,7D,20,4D,
559083999,00000314,false,Rx,0,3,11,02,FF,00,00,00,00,00,
559085617,00000302,false,Rx,0,7,FF,FF,C5,89,F1,FF,FF,00,
559086710,00000272,false,Rx,0,8,5A,FB,05,12,FF,FF,FF,FF,
559087350,000000A5,false,Rx,0,8,80,F4,FF,F7,7F,00,00,C1,
559087486,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
559087723,000000D9,false,Rx,0,8,CC,F4,00,10,00,F0,7F,C0,
559087962,000000F3,false,Rx,0,8,E2,04,00,FF,F0,C0,FF,FF,
559088195,00000100,false,Rx,0,8,C4,FC,7F,C0,5D,1D,87,70,
559088403,00000297,false,Rx,0,7,46,EA,F0,ED,F2,92,EA,00,
559088631,00000112,false,Rx,0,8,BE,24,31,0E,CB,71,25,5B,
559089303,00000197,false,Rx,0,4,86,0A,0E,C0,00,00,00,00,
559090110,000000EF,false,Rx,0,8,10,FA,00,7D,21,00,7D,FF,
559090709,000000C3,false,Rx,0,8,46,7C,00,40,00,7D,FF,FF,
559090886,000001A1,false,Rx,0,5,09,C8,00,00,81,00,00,00,
559091124,00000140,false,Rx,0,8,8A,68,40,9C,00,00,94,FF,
559091364,00000141,false,Rx,0,8,9B,78,40,9C,00,00,F4,FF,
559091602,00000201,false,Rx,0,8,F8,35,6B,E0,FF,FF,FF,FF,
559092548,000007BD,false,Rx,0,8,00,00,00,40,FF,C0,03,08,
559092806,000007BE,false,Rx,0,8,07,1B,01,08,06,67,00,00,
559093819,000002A5,false,Rx,0,2,02,0B,00,00,00,00,00,00,
559094006,00000349,false,Rx,0,5,FE,FF,FE,FF,00,00,00,00,
559095697,00000199,false,Rx,0,6,FF,FF,C9,7D,FF,3F,00,00,
559095905,0000019A,false,Rx,0,6,FF,FF,28,7F,FF,2F,00,00,
559096111,0000019F,false,Rx,0,6,FF,FF,E8,7F,FF,2F,00,00,
559096359,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
559096484,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
559097289,0000043D,false,Rx,0,8,0D,FF,EB,FF,29,25,81,50,
559097528,000003CA,false,Rx,0,8,78,70,30,06,06,8E,FF,FF,
559097766,000002AE,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,48,
559098036,0000036F,false,Rx,0,5,48,F4,FE,FF,14,00,00,00,
559098272,00000100,false,Rx,0,8,99,FD,7F,C0,5D,1D,87,70,
559098470,000001E1,false,Rx,0,6,00,F5,00,FF,FF,FF,00,00,
559098697,00000112,false,Rx,0,8,BE,24,31,0E,CB,71,25,5B,
559100122,0000015F,false,Rx,0,8,77,FB,00,7D,00,EE,00,7D,
559100682,000000C3,false,Rx,0,8,1B,7D,00,40,00,7D,FF,FF,
559102107,0000029E,false,Rx,0,8,47,7C,15,E2,04,FF,FF,FF,
559102344,0000013A,false,Rx,0,8,B6,F9,00,00,00,0E,FF,FF,
559104077,00000096,false,Rx,0,8,58,00,68,96,01,FF,FF,FF,
559107103,000000A5,false,Rx,0,8,DD,F5,FF,F7,7F,00,00,C1,
559107234,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
559107482,000000D9,false,Rx,0,8,91,F5,00,10,00,F0,7F,C0,
559107721,000000F3,false,Rx,0,8,BF,05,00,FF,F0,C0,FF,FF,
559107969,00000289,false,Rx,0,8,3C,FA,E0,FF,FD,00,EC,01,
559108199,00000100,false,Rx,0,8,7E,FE,7F,C0,5D,1D,87,70,
559108427,000001FA,false,Rx,0,8,91,65,45,70,52,47,51,54,
559108665,00000239,false,Rx,0,8,7E,57,3D,A9,04,FF,FF,FF,
559108893,00000112,false,Rx,0,8,BE,24,31,0E,CB,71,25,5B,
559109072,000002BB,false,Rx,0,5,2D,FA,5E,25,F2,00,00,00,
559110105,000000EF,false,Rx,0,8,4D,FB,00,7D,21,00,7D,FF,
559110684,000000C3,false,Rx,0,8,FC,7E,00,40,00,7D,FF,FF,
559110870,000001A1,false,Rx,0,5,2E,CA,00,00,81,00,00,00,
559111140,00000140,false,Rx,0,8,30,6A,40,9C,00,00,94,FF,
559111381,00000141,false,Rx,0,8,21,7A,40,9C,00,00,F4,FF,
559111784,000002B2,false,Rx,0,8,42,0E,D8,04,FF,0F,FF,FF,
559115693,00000199,false,Rx,0,6,FF,FF,C9,7D,FF,3F,00,00,
559115897,0000019A,false,Rx,0,6,FF,FF,1E,7F,FF,2F,00,00,
559116116,0000019F,false,Rx,0,6,FF,FF,06,80,FF,2F,00,00,
559116353,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
559116489,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
559117324,0000043C,false,Rx,0,8,FE,FE,FF,FF,FF,FF,FF,FF,
559118082,00000100,false,Rx,0,8,7F,F0,7F,C0,5D,1D,87,70,
559118516,00000112,false,Rx,0,8,BE,24,31,0E,CB,71,25,5B,
559119293,00000197,false,Rx,0,4,09,0B,0E,C0,00,00,00,00,
559119417,000001AE,false,Rx,0,2,F7,FF,00,00,00,00,00,00,
559120120,0000015F,false,Rx,0,8,F9,FC,00,7D,00,EE,00,7D,
559120678,00000206,false,Rx,0,8,8C,2C,CE,FF,FF,FF,FF,FF,
