Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1121486,000000C3,false,Rx,0,8,72,79,00,40,00,7D,FF,FF,
1121735,00000201,false,Rx,0,8,54,EB,F2,3A,FF,FF,FF,FF,
1124403,000000C0,false,Rx,0,2,F7,40,00,00,00,00,00,00,
1124652,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
1124890,000001AE,false,Rx,0,2,F7,FF,00,00,00,00,00,00,
1125355,000002BB,false,Rx,0,5,2A,F0,87,88,F2,00,00,00,
1125592,00000289,false,Rx,0,8,3D,F4,E0,FF,FD,00,EC,01,
1127046,00000349,false,Rx,0,5,FE,FF,FE,FF,00,00,00,00,
1127729,000000EF,false,Rx,0,8,AB,F6,00,7D,21,00,7D,FF,
1128286,000001A1,false,Rx,0,5,5A,C0,00,00,8A,00,00,00,
1128515,00000100,false,Rx,0,8,A9,F6,7F,C0,5D,1B,87,70,
1128804,00000140,false,Rx,0,8,25,60,40,9C,00,00,04,FF,
1129032,00000112,false,Rx,0,8,E0,24,2C,0E,F2,71,45,5B,
1129267,00000141,false,Rx,0,8,49,70,40,9C,00,00,F4,FF,
1129505,00000163,false,Rx,0,8,FF,FF,16,25,FF,FF,FF,FF,
1129743,00000173,false,Rx,0,8,80,FC,00,0E,30,00,DE,10,
1129952,00000199,false,Rx,0,6,FF,FF,7C,7E,FF,3F,00,00,
1130159,0000019A,false,Rx,0,6,FF,FF,44,7F,FF,3F,00,00,
1130367,0000019F,false,Rx,0,6,FF,FF,FC,7F,FF,2F,00,00,
1130605,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1130741,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
1130968,000002E8,false,Rx,0,8,C0,E8,C3,FF,FF,F4,F3,2E,
1131197,00000301,false,Rx,0,7,FF,FF,28,83,FF,FF,CF,00,
1131428,00000302,false,Rx,0,7,FF,FF,AE,83,FE,FF,FF,00,
1131668,000000C3,false,Rx,0,8,95,7A,00,40,00,7D,FF,FF,
1131916,000007BD,false,Rx,0,8,00,00,00,40,FF,C0,01,00,
1133577,000000A5,false,Rx,0,8,E9,F0,FF,F7,7F,00,00,C1,
1133702,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
1133951,000000D9,false,Rx,0,8,A5,F0,00,10,00,F0,7F,C0,
1134190,000000F3,false,Rx,0,8,8B,00,00,FF,F0,C0,FF,FF,
1134809,0000036E,false,Rx,0,5,1B,FC,FE,FF,14,00,00,00,
1137733,0000015F,false,Rx,0,8,CC,F7,00,7D,00,EE,00,7D,
1138504,00000100,false,Rx,0,8,F4,F7,7F,C0,5D,1B,87,70,
1138732,00000112,false,Rx,0,8,DE,24,2C,0E,F2,71,45,5B,
1138970,00000197,false,Rx,0,4,85,08,0E,C0,00,00,00,00,
1139200,000002F5,false,Rx,0,8,BF,0F,E2,24,27,0A,06,10,
1139716,0000013A,false,Rx,0,8,64,F1,00,00,00,0E,FF,FF,
1141515,000000C3,false,Rx,0,8,C8,7B,00,40,00,7D,FF,FF,
1147719,000000EF,false,Rx,0,8,F6,F7,00,7D,21,00,7D,FF,
1148283,000001A1,false,Rx,0,5,7D,C2,00,00,8A,00,00,00,
1148532,00000100,false,Rx,0,8,A8,F8,7F,C0,5D,1B,87,70,
1148760,00000112,false,Rx,0,8,E0,24,2C,0E,F2,71,45,5B,
1148998,00000140,false,Rx,0,8,9F,62,40,9C,00,00,04,FF,
1149239,00000141,false,Rx,0,8,F3,72,40,9C,00,00,F4,FF,
1149436,00000199,false,Rx,0,6,FF,FF,9A,7E,FF,3F,00,00,
1149643,0000019A,false,Rx,0,6,FF,FF,4E,7F,FF,3F,00,00,
1149848,0000019F,false,Rx,0,6,FF,FF,0A,80,FF,2F,00,00,
1150097,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1150223,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
1151502,00000206,false,Rx,0,8,D8,2B,7F,FF,FF,FF,FF,FF,
1151750,000000C3,false,Rx,0,8,46,7C,00,40,00,7D,FF,FF,
1153343,000002C4,false,Rx,0,8,00,00,FF,00,C8,64,FF,CF,
1153571,000000A5,false,Rx,0,8,B4,F1,FF,F7,7F,00,00,C1,
1153707,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
1153944,000000D9,false,Rx,0,8,F8,F1,00,10,00,F0,7F,C0,
1154183,000000F3,false,Rx,0,8,D6,01,00,FF,F0,C0,FF,FF,
1155668,0000036F,false,Rx,0,5,49,FD,FE,FF,14,00,00,00,
1157730,0000015F,false,Rx,0,8,90,F8,00,7D,00,EE,00,7D,
1158552,00000100,false,Rx,0,8,F5,F9,7F,C0,5D,1B,87,70,
1158780,00000112,false,Rx,0,8,DE,24,2C,0E,F2,71,45,5B,
1159709,0000013A,false,Rx,0,8,DE,F3,00,00,00,0E,FF,FF,
1161495,000000C3,false,Rx,0,8,1B,7D,00,40,00,7D,FF,FF,
1165303,000003B4,false,Rx,0,8,00,00,0D,F4,BD,FF,09,B2,
1165589,0000012F,false,Rx,0,8,05,2D,86,1B,F1,35,30,00,
1167730,000000EF,false,Rx,0,8,AA,F8,00,7D,21,00,7D,FF,
1168268,000001A1,false,Rx,0,5,14,C4,00,00,8A,00,00,00,
1168527,00000100,false,Rx,0,8,12,FA,7F,C0,5D,1B,87,70,
1168755,00000112,false,Rx,0,8,DF,24,2C,0E,F2,71,45,5B,
1168993,00000140,false,Rx,0,8,4C,64,40,9C,00,00,04,FF,
1169224,00000141,false,Rx,0,8,20,74,40,9C,00,00,F4,FF,
1169397,00000197,false,Rx,0,4,0A,09,0E,C0,00,00,00,00,
1169604,00000199,false,Rx,0,6,FF,FF,90,7E,FF,3F,00,00,
1169810,0000019A,false,Rx,0,6,FF,FF,3A,7F,FF,3F,00,00,
1170008,0000019F,false,Rx,0,6,FF,FF,0A,80,FF,2F,00,00,
1170258,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1170383,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
1170611,00000302,false,Rx,0,7,FF,FF,AE,83,FE,FF,FF,00,
1171505,000000C3,false,Rx,0,8,FC,7E,00,40,00,7D,FF,FF,
1171743,00000201,false,Rx,0,8,60,EB,FE,3A,FF,FF,FF,FF,
1173384,000000A5,false,Rx,0,8,53,F2,FF,F7,7F,00,00,C1,
1173520,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
1173758,000000D9,false,Rx,0,8,1F,F2,00,10,00,F0,7F,C0,
1173996,000000F3,false,Rx,0,8,31,02,00,FF,F0,C0,FF,FF,
1174874,000002A7,false,Rx,0,5,8E,F9,FE,FF,14,00,00,00,
1177733,0000015F,false,Rx,0,8,CD,F9,00,7D,00,EE,00,7D,
1178339,00000100,false,Rx,0,8,4F,FB,7F,C0,5D,1B,87,70,
1178567,00000112,false,Rx,0,8,DE,24,2C,0E,F2,71,45,5B,
1179682,000002C5,false,Rx,0,7,AB,F6,00,60,06,70,C8,00,
1179931,0000013A,false,Rx,0,8,0D,F5,00,00,00,0E,FF,FF,
1181510,000000C3,false,Rx,0,8,FD,70,00,40,00,7D,FF,FF,
1186916,000001D6,false,Rx,0,2,F0,C0,00,00,00,00,00,00,
1187727,000000EF,false,Rx,0,8,F7,F9,00,7D,21,00,7D,FF,
1188286,000001A1,false,Rx,0,5,33,C6,00,00,8A,00,00,00,
1188523,00000100,false,Rx,0,8,C1,FC,7F,C0,5D,1B,87,70,
1188741,00000112,false,Rx,0,8,DF,24,2C,0E,F2,71,45,5B,
1188981,00000140,false,Rx,0,8,F6,66,40,9C,00,00,04,FF,
1189222,00000141,false,Rx,0,8,9A,76,40,9C,00,00,F4,FF,
