Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1325210,000000C3,false,Rx,0,8,C9,75,00,40,00,7D,FF,FF,
1328030,000000A5,false,Rx,0,8,DD,F5,FF,F7,7F,00,00,C1,
1328165,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
1328405,000000D9,false,Rx,0,8,91,F5,00,10,00,F0,7F,C0,
1328643,000000F3,false,Rx,0,8,BF,05,00,FF,F0,C0,FF,FF,
1329028,0000036E,false,Rx,0,5,3D,F7,FE,FF,14,00,00,00,
1330420,00000112,false,Rx,0,8,E2,24,1B,0E,E2,71,85,5A,
1331130,000002F5,false,Rx,0,8,BF,0F,E2,24,27,0A,06,10,
1332111,0000015F,false,Rx,0,8,F9,FC,00,7D,00,EE,00,7D,
1332350,00000100,false,Rx,0,8,CF,F2,7F,C0,5D,11,87,70,
1334082,0000013A,false,Rx,0,8,0C,FB,00,00,00,0E,FF,FF,
1334322,000002B2,false,Rx,0,8,16,0E,D6,04,FF,0F,FF,FF,
1335210,000000C3,false,Rx,0,8,2E,76,00,40,00,7D,FF,FF,
1336344,00000199,false,Rx,0,6,FF,FF,90,7E,FF,3F,00,00,
1336551,0000019A,false,Rx,0,6,FF,FF,4E,7F,FF,3F,00,00,
1336759,0000019F,false,Rx,0,6,FF,FF,F6,7F,FF,2F,00,00,
1336999,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1337134,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
1337620,00000302,false,Rx,0,7,FF,FF,AE,83,FE,FF,FF,00,
1339043,00000272,false,Rx,0,8,5A,FB,05,12,FF,FF,FF,FF,
1339252,00000390,false,Rx,0,4,F0,FF,FF,FF,00,00,00,00,
1340416,00000112,false,Rx,0,8,E2,24,1B,0E,E2,71,85,5A,
1342087,000000EF,false,Rx,0,8,C3,FC,00,7D,21,00,7D,FF,
1342316,00000100,false,Rx,0,8,92,F3,7F,C0,5D,11,87,70,
1342688,000001A1,false,Rx,0,5,88,CC,00,00,8A,00,00,00,
1343174,00000140,false,Rx,0,8,9E,6C,40,9C,00,00,04,FF,
1343413,00000141,false,Rx,0,8,F2,7C,40,9C,00,00,F4,FF,
1343642,00000300,false,Rx,0,8,36,1A,18,86,61,18,86,65,
1344282,000002EF,false,Rx,0,8,F4,01,00,40,1F,00,C0,C8,
1345194,00000206,false,Rx,0,8,3E,26,7F,FF,FF,FF,FF,FF,
1345442,000000C3,false,Rx,0,8,73,77,00,40,00,7D,FF,FF,
1347699,000002C4,false,Rx,0,8,00,00,FF,00,C8,64,FF,CF,
1347937,000000A5,false,Rx,0,8,3A,F6,FF,F7,7F,00,00,C1,
1348072,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
1348311,000000D9,false,Rx,0,8,76,F6,00,10,00,F0,7F,C0,
1348550,000000F3,false,Rx,0,8,58,06,00,FF,F0,C0,FF,FF,
1350018,0000036F,false,Rx,0,5,63,F8,38,00,15,00,00,00,
1350421,00000112,false,Rx,0,8,E0,24,1B,0E,E2,71,85,5A,
1351853,00000197,false,Rx,0,4,83,0C,0E,C0,00,00,00,00,
1352102,0000015F,false,Rx,0,8,A4,FD,00,7D,00,EE,00,7D,
1352341,00000100,false,Rx,0,8,1C,F4,7F,C0,5D,11,87,70,
1352559,000002C5,false,Rx,0,7,ED,F7,00,60,06,70,C8,00,
1352817,000007BE,false,Rx,0,8,07,70,2C,81,06,67,00,00,
1354080,0000013A,false,Rx,0,8,DF,FD,00,00,00,0E,FF,FF,
1355182,00000201,false,Rx,0,8,9C,B5,3F,05,FF,FF,FF,FF,
1355441,000000C3,false,Rx,0,8,2F,78,00,40,00,7D,FF,FF,
1355679,000000F5,false,Rx,0,7,DC,DC,00,82,00,82,00,00,
1355845,000000FF,false,Rx,0,4,CE,24,F0,00,00,00,00,00,
1356342,00000199,false,Rx,0,6,FF,FF,86,7E,FF,3F,00,00,
1356538,0000019A,false,Rx,0,6,FF,FF,4E,7F,FF,3F,00,00,
1356757,0000019F,false,Rx,0,6,FF,FF,07,80,FF,2F,00,00,
1356994,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1357129,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
1359157,0000012F,false,Rx,0,8,0E,2D,86,1C,F1,35,30,00,
1360221,0000051A,false,Rx,0,8,00,00,00,00,50,00,00,1A,
1360449,00000112,false,Rx,0,8,E0,24,1B,0E,E2,71,85,5A,
1362100,000000EF,false,Rx,0,8,9E,FD,00,7D,21,00,7D,FF,
1362339,00000100,false,Rx,0,8,41,F5,7F,C0,5D,11,87,70,
1362680,000001A1,false,Rx,0,5,AF,CE,00,00,8A,00,00,00,
1363165,00000140,false,Rx,0,8,24,6E,40,9C,00,00,04,FF,
1363405,00000141,false,Rx,0,8,48,7E,40,9C,00,00,F4,FF,
1365188,000000C3,false,Rx,0,8,72,79,00,40,00,7D,FF,FF,
1365437,00000201,false,Rx,0,8,9F,B5,41,05,FF,FF,FF,FF,
1367972,000000A5,false,Rx,0,8,67,F7,FF,F7,7F,00,00,C1,
1368097,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
1368347,000000D9,false,Rx,0,8,2B,F7,00,10,00,F0,7F,C0,
1368585,000000F3,false,Rx,0,8,05,07,00,FF,F0,C0,FF,FF,
1369020,000002A7,false,Rx,0,5,7A,FE,FE,FF,14,00,00,00,
1370446,00000112,false,Rx,0,8,DF,24,1B,0E,E2,71,85,5A,
