Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2118766,000002E8,false,Rx,0,8,C0,E8,C3,FF,FF,F4,FB,C6,
2119449,000000EF,false,Rx,0,8,25,F1,00,7D,21,00,7D,FF,
2119994,000001A1,false,Rx,0,5,89,C5,00,00,8A,00,00,00,
2120233,000000C3,false,Rx,0,8,FD,70,00,40,00,7D,FF,FF,
2120461,00000112,false,Rx,0,8,D7,24,12,0E,B3,71,35,5A,
2120699,00000140,false,Rx,0,8,11,65,40,9C,00,00,04,FF,
2120939,00000141,false,Rx,0,8,7D,75,40,9C,00,00,F4,FF,
2121166,000002F5,false,Rx,0,8,BF,0F,E2,24,28,0A,06,10,
2122711,000001AE,false,Rx,0,2,F7,FF,00,00,00,00,00,00,
2125096,00000272,false,Rx,0,8,BC,F6,05,12,FF,FF,FF,FF,
2125816,000000A5,false,Rx,0,8,81,FA,FF,F7,7F,00,00,C1,
2126117,000000D9,false,Rx,0,8,CD,FA,00,10,00,F0,7F,C0,
2126243,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
2126480,000000F3,false,Rx,0,8,E3,0A,00,FF,F0,C0,FF,FF,
2126667,000002A7,false,Rx,0,5,A9,FB,FE,FF,14,00,00,00,
2127080,00000100,false,Rx,0,8,53,FC,7F,C0,5D,0C,87,70,
2129520,0000015F,false,Rx,0,8,F8,F2,00,7D,00,EE,00,7D,
2130199,000000C3,false,Rx,0,8,A0,71,00,40,00,7D,FF,FF,
2130427,00000112,false,Rx,0,8,D8,24,12,0E,B3,71,35,5A,
2130665,00000348,false,Rx,0,8,B1,08,62,FE,FE,64,23,1B,
2131440,0000013A,false,Rx,0,8,EA,F6,00,00,00,0E,FF,FF,
2132640,00000199,false,Rx,0,6,FF,FF,7C,7E,FF,3F,00,00,
2132846,0000019A,false,Rx,0,6,FF,FF,58,7F,FF,3F,00,00,
2133055,0000019F,false,Rx,0,6,FF,FF,01,80,FF,2F,00,00,
2133293,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
2133429,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
2134020,00000197,false,Rx,0,4,00,05,0E,C0,00,00,00,00,
2135206,00000314,false,Rx,0,3,50,00,FF,00,00,00,00,00,
2137099,00000100,false,Rx,0,8,0E,FD,7F,C0,5D,0C,87,70,
2137524,00000302,false,Rx,0,7,FF,FF,59,81,FE,FF,FF,00,
2139441,000000EF,false,Rx,0,8,C2,F2,00,7D,21,00,7D,FF,
2139995,000001A1,false,Rx,0,5,AE,C7,00,00,8A,00,00,00,
2140233,00000206,false,Rx,0,8,AF,21,C1,FF,FF,FF,FF,FF,
2140461,00000112,false,Rx,0,8,D8,24,12,0E,B3,71,35,5A,
2140711,000000C3,false,Rx,0,8,47,72,00,40,00,7D,FF,FF,
2140939,00000140,false,Rx,0,8,AB,67,40,9C,00,00,04,FF,
