Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1506916,0000013A,false,Rx,0,8,64,F1,00,00,00,0E,FF,FF,
1510544,00000510,false,Rx,0,8,40,10,20,00,00,00,00,00,
1511634,00000100,false,Rx,0,8,B9,F8,7F,C0,5D,05,87,70,
1513271,00000112,false,Rx,0,8,DB,24,03,0E,A0,71,85,5A,
1514865,00000206,false,Rx,0,8,C7,2B,C1,FF,FF,FF,FF,FF,
1515093,000000EF,false,Rx,0,8,F6,F7,00,7D,21,00,7D,FF,
1515344,000000C3,false,Rx,0,8,46,7C,00,40,00,7D,FF,FF,
1515520,000001A1,false,Rx,0,5,7D,C2,00,00,8A,00,00,00,
1515994,00000140,false,Rx,0,8,9F,62,40,9C,00,00,04,FF,
1516224,00000141,false,Rx,0,8,F3,72,40,9C,00,00,F4,FF,
1516473,00000163,false,Rx,0,8,FF,FF,15,25,FF,FF,FF,FF,
1516699,00000173,false,Rx,0,8,3A,FE,00,0E,30,00,DE,10,
1516907,00000199,false,Rx,0,6,FF,FF,72,7E,FF,3F,00,00,
1517114,0000019A,false,Rx,0,6,FF,FF,58,7F,FF,3F,00,00,
1517322,0000019F,false,Rx,0,6,FF,FF,F9,7F,FF,2F,00,00,
1517571,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1517697,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
1517944,000007BD,false,Rx,0,8,00,00,00,40,FF,C0,01,08,
1518214,000007BE,false,Rx,0,8,07,70,2D,80,06,67,00,00,
1521456,000002C4,false,Rx,0,8,00,00,FF,00,C8,64,FF,CF,
1521690,000000A5,false,Rx,0,8,B4,F1,FF,F7,7F,00,00,C1,
1521918,00000100,false,Rx,0,8,E4,F9,7F,C0,5D,05,87,70,
1522054,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
1522293,000000D9,false,Rx,0,8,F8,F1,00,10,00,F0,7F,C0,
1522532,000000F3,false,Rx,0,8,D6,01,00,FF,F0,C0,FF,FF,
1523265,00000112,false,Rx,0,8,DB,24,03,0E,A0,71,85,5A,
1524859,000000C3,false,Rx,0,8,1B,7D,00,40,00,7D,FF,FF,
1525108,0000015F,false,Rx,0,8,90,F8,00,7D,00,EE,00,7D,
1526912,0000013A,false,Rx,0,8,DE,F3,00,00,00,0E,FF,FF,
1527674,00000197,false,Rx,0,4,8F,04,0E,C0,00,00,00,00,
1528540,00000302,false,Rx,0,7,FF,FF,59,81,FE,FF,FF,00,
1531641,00000100,false,Rx,0,8,03,FA,7F,C0,5D,05,87,70,
1533267,00000112,false,Rx,0,8,DE,24,03,0E,A0,71,85,5A,
1534882,000000C3,false,Rx,0,8,FC,7E,00,40,00,7D,FF,FF,
1535120,000000EF,false,Rx,0,8,AA,F8,00,7D,21,00,7D,FF,
1535360,00000201,false,Rx,0,8,0F,8B,87,2D,FF,FF,FF,FF,
1535547,000001A1,false,Rx,0,5,14,C4,00,00,8A,00,00,00,
1535993,00000140,false,Rx,0,8,4C,64,40,9C,00,00,04,FF,
1536233,00000141,false,Rx,0,8,20,74,40,9C,00,00,F4,FF,
1536646,00000199,false,Rx,0,6,FF,FF,9A,7E,FF,3F,00,00,
1536843,0000019A,false,Rx,0,6,FF,FF,62,7F,FF,3F,00,00,
1537061,0000019F,false,Rx,0,6,FF,FF,F0,7F,FF,2F,00,00,
1537310,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1537435,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
1539607,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
1541522,000000A5,false,Rx,0,8,53,F2,FF,F7,7F,00,00,C1,
1541766,00000100,false,Rx,0,8,5E,FB,7F,C0,5D,05,87,70,
1541892,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
1542130,000000D9,false,Rx,0,8,1F,F2,00,10,00,F0,7F,C0,
1542369,000000F3,false,Rx,0,8,31,02,00,FF,F0,C0,FF,FF,
1542556,000002A7,false,Rx,0,5,8E,F9,FE,FF,14,00,00,00,
1543268,00000112,false,Rx,0,8,DD,24,03,0E,A0,71,85,5A,
1544862,000000C3,false,Rx,0,8,FD,70,00,40,00,7D,FF,FF,
1545100,0000015F,false,Rx,0,8,CD,F9,00,7D,00,EE,00,7D,
1546904,0000013A,false,Rx,0,8,0D,F5,00,00,00,0E,FF,FF,
1549684,000001D6,false,Rx,0,2,F0,C0,00,00,00,00,00,00,
1549845,00000314,false,Rx,0,3,50,00,FF,00,00,00,00,00,
1550165,00000607,false,Rx,0,5,F1,03,7F,22,78,00,00,00,
1551630,00000100,false,Rx,0,8,D0,FC,7F,C0,5D,05,87,70,
1551847,00000246,false,Rx,0,6,3F,FB,00,FF,FF,FF,00,00,
1552074,00000299,false,Rx,0,8,FF,00,30,00,00,00,F0,00,
1552943,00000239,false,Rx,0,8,30,DA,35,15,05,FF,FF,FF,
1553399,00000112,false,Rx,0,8,E0,24,03,0E,A0,71,85,5A,
1554248,00000607,false,Rx,0,8,F1,06,62,DD,C4,10,40,01,
1554857,00000206,false,Rx,0,8,49,2C,C1,FF,FF,FF,FF,FF,
1555095,000000EF,false,Rx,0,8,F7,F9,00,7D,21,00,7D,FF,
1555336,000000C3,false,Rx,0,8,A0,71,00,40,00,7D,FF,FF,
1555523,000001A1,false,Rx,0,5,33,C6,00,00,8A,00,00,00,
1556022,00000140,false,Rx,0,8,F6,66,40,9C,00,00,04,FF,
1556262,00000141,false,Rx,0,8,9A,76,40,9C,00,00,F4,FF,
1556469,00000199,false,Rx,0,6,FF,FF,90,7E,FF,3F,00,00,
1556676,0000019A,false,Rx,0,6,FF,FF,58,7F,FF,3F,00,00,
1556884,0000019F,false,Rx,0,6,FF,FF,F4,7F,FF,2F,00,00,
1557132,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1557382,00000200,false,Rx,0,8,00,00,83,00,00,00,00,FF,
1557508,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
