Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
72487850,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
72488033,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
72497845,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
72498028,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
72500229,00000524,false,Rx,1,6,03,00,02,00,00,00,00,00,
72501230,00000522,false,Rx,1,6,01,06,50,02,00,00,00,00,
72501746,000003B4,false,Rx,1,8,00,00,0C,F0,98,FF,00,00,
72507850,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
72508034,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
72512486,0000012F,false,Rx,1,8,F5,28,88,1D,F1,35,30,80,
72512732,000002F1,false,Rx,1,8,00,00,6E,18,1B,FB,06,A0,
72512980,000002FC,false,Rx,1,8,81,00,04,FF,FF,FF,FF,FF,
72517850,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
72518034,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
72522351,00000523,false,Rx,1,6,02,05,F0,FF,FF,FF,00,00,
72527850,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
72528034,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
72537844,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
72538028,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
72543466,00000521,false,Rx,1,6,00,09,09,00,00,00,00,00,
72547846,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
72548030,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
72557849,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
72558033,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
72561772,00000272,false,Rx,1,8,D1,FC,01,12,FF,FF,FF,FF,
72561985,00000526,false,Rx,1,6,05,0E,00,00,00,00,00,00,
72562202,00000527,false,Rx,1,6,06,0E,B6,0D,01,00,00,00,
72562419,00000528,false,Rx,1,6,07,0E,72,1D,00,00,00,00,
72567842,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
72568025,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
72577846,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
72578028,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
72582719,00000525,false,Rx,1,6,04,0F,BB,00,00,00,00,00,
72587846,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
72588028,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
72591798,000003C3,false,Rx,1,8,79,14,09,92,24,09,82,20,
72597846,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
72598028,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
72600828,00000524,false,Rx,1,6,03,01,E3,FF,FF,FF,00,00,
72601809,00000522,false,Rx,1,6,01,07,5A,02,00,00,00,00,
72607840,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
72608023,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
72612485,0000012F,false,Rx,1,8,F5,28,88,1D,F1,35,30,80,
72612731,000002F1,false,Rx,1,8,00,00,6E,18,1B,FB,06,A0,
72612969,000002FC,false,Rx,1,8,81,00,04,FF,FF,FF,FF,FF,
72613218,00000510,false,Rx,1,8,40,10,20,00,00,00,00,00,
72613466,00000512,false,Rx,1,8,00,00,00,00,00,00,00,12,
72613716,00000540,false,Rx,1,8,00,00,00,00,FD,3C,FF,40,
72613955,0000051A,false,Rx,1,8,00,00,00,00,50,00,00,1A,
72614192,00000432,false,Rx,1,8,2C,E2,10,A3,30,FF,02,FF,
72614420,00000330,false,Rx,1,8,A8,86,01,02,00,05,AC,03,
72614669,000003A0,false,Rx,1,8,FF,FF,C0,FF,FF,FF,FF,FC,
72614909,000003F9,false,Rx,1,8,C0,F9,80,E0,43,3C,C3,FF,
72615126,00000397,false,Rx,1,7,00,2A,00,6C,0F,55,00,00,
72615375,000002A0,false,Rx,1,8,88,88,F8,0F,FF,FF,FF,FF,
72615624,0000003C,false,Rx,1,8,FF,5F,00,00,00,00,FF,FF,
72615843,00000431,false,Rx,1,8,CA,FF,0B,02,69,26,F3,4B,
72616091,000003E9,false,Rx,1,8,08,52,00,00,00,00,00,00,
72616340,00000560,false,Rx,1,8,00,00,00,00,FE,00,00,60,
72617847,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
72618023,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
72622950,00000523,false,Rx,1,6,02,06,FA,FF,FF,FF,00,00,
72627849,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
72628031,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
72637840,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
72638023,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
72644063,00000521,false,Rx,1,6,00,0A,04,00,00,00,00,00,
72647841,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
72648023,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
169846,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
170028,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
174730,00000526,false,Rx,1,6,05,0F,00,00,00,00,00,00,
174953,00000527,false,Rx,1,6,06,0F,B6,0D,01,00,00,00,
175171,00000528,false,Rx,1,6,07,0F,72,1D,00,00,00,00,
179844,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
180026,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
189846,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
190028,000001A1,false,Rx,1,5,7C,CB,00,00,8A,00,00,00,
195320,00000525,false,Rx,1,6,04,00,BB,00,00,00,00,00,
199845,00000112,false,Rx,1,8,FE,1F,00,00,FA,00,65,00,
