Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1621841258567223,000001D0,false,Rx,0,8,6C,F0,DF,FF,FF,FF,FF,FF,
-1621841258567009,000002C4,false,Rx,0,8,FF,FF,FF,64,64,64,FF,FF,
-1621841258566753,000000A5,false,Rx,0,8,4A,F0,FF,F7,7F,FF,FF,FF,
-1621841258566625,000000AC,false,Rx,0,2,FF,F7,00,00,00,00,00,00,
-1621841258566412,000000D9,false,Rx,0,8,64,F0,FF,FF,FF,EF,7F,FF,
-1621841258566156,000000F3,false,Rx,0,8,85,F0,FF,FF,F0,FF,FF,FF,
-1621841258565943,00000304,false,Rx,0,6,FF,FF,FF,FF,FF,FF,00,00,
-1621841258565687,000003F9,false,Rx,0,8,8A,F0,FF,F3,30,30,CF,FF,
-1621841258562421,00000340,false,Rx,0,2,FC,FF,00,00,00,00,00,00,
-1621841258562293,00000389,false,Rx,0,2,FF,F0,00,00,00,00,00,00,
-1621841258562037,00000592,false,Rx,0,8,01,00,00,FF,FF,FF,FF,FF,
-1621841258561866,000001B9,false,Rx,0,5,FF,FF,FF,00,FF,00,00,00,
-1621841258561653,000003B3,false,Rx,0,7,0F,00,00,00,00,F0,08,00,
-1621841258561397,000003F9,false,Rx,0,8,35,F1,80,C0,A6,30,C0,FF,
-1621841258547317,000000A5,false,Rx,0,8,B4,F1,FF,F7,7F,00,00,C1,
-1621841258547061,000000D9,false,Rx,0,8,10,F1,00,10,00,F0,7F,C8,
-1621841258546933,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
-1621841258546720,000000F3,false,Rx,0,8,D6,01,00,FF,F0,C0,FF,FF,
-1621841258541429,00000512,false,Rx,0,8,00,00,00,00,00,00,00,12,
-1621841258541173,00000592,false,Rx,0,8,41,00,00,00,00,00,00,00,
-1621841258532341,000001D0,false,Rx,0,8,31,F1,DF,FF,FF,FF,FF,FF,
-1621841258532128,000001B9,false,Rx,0,5,FF,FF,FF,00,FF,00,00,00,
-1621841258527264,000000A5,false,Rx,0,8,53,F2,FF,F7,7F,00,00,C1,
-1621841258527051,000000D9,false,Rx,0,8,F7,F2,00,10,00,F0,7F,C8,
-1621841258526923,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
-1621841258526667,000000F3,false,Rx,0,8,31,02,00,FF,F0,C0,FF,FF,
-1621841258522229,000003B3,false,Rx,0,7,1F,00,FF,0F,00,F3,08,00,
-1621841258507296,000000A5,false,Rx,0,8,0E,F3,FF,F7,7F,00,00,C1,
-1621841258507083,000000D9,false,Rx,0,8,AA,F3,00,10,00,F0,7F,C8,
