Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1103125348,00000540,false,Rx,0,8,00,00,00,00,1D,58,FF,40,
1103126325,000002FC,false,Rx,0,8,81,00,01,FF,FF,FF,FF,FF,
1103130130,000001D6,false,Rx,0,2,F0,CC,00,00,00,00,00,00,
1103130259,000001EE,false,Rx,0,2,00,FC,00,00,00,00,00,00,
1103130393,000002A6,false,Rx,0,2,00,A4,00,00,00,00,00,00,
1103130529,000002CF,false,Rx,0,2,FA,FF,00,00,00,00,00,00,
1103130684,00000314,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
1103130871,00000349,false,Rx,0,5,FE,FF,D4,08,00,00,00,00,
1103130995,000003AC,false,Rx,0,2,FE,CF,00,00,00,00,00,00,
1103131150,000003BE,false,Rx,0,3,3C,F0,00,00,00,00,00,00,
1103134082,0000012F,false,Rx,0,8,09,23,86,1C,F1,31,30,00,
1103140111,000001EE,false,Rx,0,2,00,FC,00,00,00,00,00,00,
1103143297,000003A0,false,Rx,0,8,FF,FF,C0,FF,FF,FF,FF,FD,
1103143481,000003A5,false,Rx,0,5,E1,D5,FF,FF,FF,00,00,00,
1103143729,00000510,false,Rx,0,8,40,10,20,00,00,00,00,00,
1103146212,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
1103159044,0000012F,false,Rx,0,8,87,24,86,1C,F1,31,30,00,
1103180927,0000019D,false,Rx,0,8,5B,AD,01,07,FF,FF,FF,FF,
1103181152,000002C5,false,Rx,0,7,F5,FF,00,30,C4,70,C8,00,
1103181298,000002CA,false,Rx,0,2,6E,6E,00,00,00,00,00,00,
1103181504,000002F7,false,Rx,0,6,02,D8,8A,0B,11,F2,00,00,
1103181753,000002F8,false,Rx,0,8,12,1B,17,03,64,E5,07,F1,
1103182662,0000038E,false,Rx,0,8,00,00,11,11,99,0E,82,F5,
1103185847,00000328,false,Rx,0,6,4B,BE,53,0E,91,1E,00,00,
1103186100,00000330,false,Rx,0,8,2E,CB,01,07,00,FF,5C,0D,
1103186359,00000356,false,Rx,0,8,39,90,03,FF,FF,FF,FF,FF,
1103186568,00000373,false,Rx,0,6,33,D1,05,78,F0,FF,00,00,
1103186766,00000393,false,Rx,0,4,FF,FF,FF,FF,00,00,00,00,
1103195331,000000A9,false,Rx,0,8,00,7D,00,90,F1,00,00,FF,
1103195938,00000336,false,Rx,0,7,00,00,00,FE,FF,FE,FF,00,
1103196207,000007BE,false,Rx,0,8,06,01,20,00,00,01,83,00,
1103202665,000005E3,false,Rx,0,8,01,00,A1,FF,FF,FF,FF,FF,
1103202798,000003BB,false,Rx,0,2,02,FF,00,00,00,00,00,00,
1103205430,000002A1,false,Rx,0,5,80,58,02,00,F8,00,00,00,
1103210404,000001AE,false,Rx,0,2,FB,FF,00,00,00,00,00,00,
1103215207,00000397,false,Rx,0,7,00,2A,00,6D,09,28,01,00,
1103225173,000002B0,false,Rx,0,6,3B,44,00,BF,FF,FF,00,00,
1103226097,000000C0,false,Rx,0,2,F9,40,00,00,00,00,00,00,
