Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
28275210,000001AE,false,Rx,0,2,F7,FF,00,00,00,00,00,00,
28275728,0000013A,false,Rx,0,8,38,FE,00,00,00,0E,FF,FF,
28276009,000000C3,false,Rx,0,8,1B,7D,00,40,00,7D,FF,FF,
28277349,00000112,false,Rx,0,8,FA,1F,B1,0D,C6,71,05,58,
28279053,00000199,false,Rx,0,6,FF,FF,4E,7F,FF,3F,00,00,
28279258,0000019A,false,Rx,0,6,FF,FF,8A,7F,FF,3F,00,00,
28279465,0000019F,false,Rx,0,6,FF,FF,ED,7F,FF,2F,00,00,
28279715,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
28279840,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
28280077,00000302,false,Rx,0,7,FF,FF,D4,80,FE,FF,FF,00,
28281339,000002BB,false,Rx,0,5,37,F0,04,0A,F2,00,00,00,
28281577,00000289,false,Rx,0,8,09,F1,E0,FF,FD,00,EC,01,
28282971,00000100,false,Rx,0,8,FD,FA,7F,C0,5D,D9,86,70,
28283137,00000197,false,Rx,0,4,8C,06,0E,C0,00,00,00,00,
28283643,0000043D,false,Rx,0,8,0A,BF,E6,FF,51,28,80,50,
28284242,000000A5,false,Rx,0,8,E8,FE,FF,F7,7F,00,00,C1,
28284481,000000EF,false,Rx,0,8,E9,F6,00,7D,21,FF,7C,FF,
28284720,000000D9,false,Rx,0,8,A4,FE,00,10,00,F0,7F,C0,
28284856,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
28285094,000000F3,false,Rx,0,8,8A,0E,00,FF,F0,C0,FF,FF,
28285278,000001A1,false,Rx,0,5,5A,C0,00,00,8A,00,00,00,
28285516,00000140,false,Rx,0,8,58,60,40,9C,00,00,94,FF,
28285755,00000141,false,Rx,0,8,49,70,40,9C,00,00,F4,FF,
28285995,000000C3,false,Rx,0,8,FC,7E,00,40,00,7D,FF,FF,
28286253,00000201,false,Rx,0,8,C6,24,D0,4B,FF,FF,FF,FF,
28287351,00000112,false,Rx,0,8,FA,1F,B1,0D,C6,71,05,58,
28287580,00000458,false,Rx,0,8,23,33,AA,7E,83,CB,4D,8B,
28287830,00000431,false,Rx,0,8,CA,FD,FF,FF,FF,99,F7,00,
28291284,000002A7,false,Rx,0,5,12,F1,FE,FF,14,00,00,00,
28292756,00000100,false,Rx,0,8,A0,FB,7F,C0,5D,D9,86,70,
28293886,000000C0,false,Rx,0,2,F3,40,00,00,00,00,00,00,
28294133,0000003C,false,Rx,0,8,FF,5F,00,02,00,00,FF,FF,
28294373,0000015F,false,Rx,0,8,CC,F7,00,7D,00,EE,00,7D,
28294746,00000337,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
28295034,000003B4,false,Rx,0,8,00,00,0C,F0,98,FF,00,00,
28295947,000000C3,false,Rx,0,8,FD,70,00,40,00,7D,FF,FF,
28296349,0000013A,false,Rx,0,8,64,F1,00,00,00,0E,FF,FF,
28297370,00000112,false,Rx,0,8,FA,1F,B1,0D,C6,71,05,58,
28297608,00000432,false,Rx,0,8,1C,DB,15,BD,56,7C,01,BC,
28299053,00000199,false,Rx,0,6,FF,FF,4E,7F,FF,3F,00,00,
28299260,0000019A,false,Rx,0,6,FF,FF,76,7F,FF,3F,00,00,
28299469,0000019F,false,Rx,0,6,FF,FF,0F,80,FF,2F,00,00,
28299709,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
28299834,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
28302967,00000100,false,Rx,0,8,2E,FC,7F,C0,5D,D9,86,70,
28303500,0000043C,false,Rx,0,8,FE,FE,FF,FF,FF,FF,FF,FF,
28304253,000000A5,false,Rx,0,8,E9,F0,FF,F7,7F,00,00,C1,
28304482,000000EF,false,Rx,0,8,B4,F7,00,7D,21,FF,7C,FF,
28304721,000000D9,false,Rx,0,8,A5,F0,00,10,00,F0,7F,C0,
28304857,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
28305095,000000F3,false,Rx,0,8,8B,00,00,FF,F0,C0,FF,FF,
28305282,000001A1,false,Rx,0,5,7D,C2,00,00,8A,00,00,00,
28305517,00000140,false,Rx,0,8,E2,62,40,9C,00,00,94,FF,
28305756,00000141,false,Rx,0,8,F3,72,40,9C,00,00,F4,FF,
28305996,00000206,false,Rx,0,8,19,2C,81,FF,FF,FF,FF,FF,
28306254,000000C3,false,Rx,0,8,A0,71,00,40,00,7D,FF,FF,
28307349,00000112,false,Rx,0,8,FA,1F,B1,0D,C6,71,05,58,
28310712,000007BE,false,Rx,0,8,0B,00,00,00,00,00,00,00,
28312905,00000100,false,Rx,0,8,73,FD,7F,C0,5D,D9,86,70,
28313068,00000197,false,Rx,0,4,03,07,0E,C0,00,00,00,00,
28314367,0000015F,false,Rx,0,8,90,F8,00,7D,00,EE,00,7D,
28314884,000001E1,false,Rx,0,6,BD,F0,55,FF,FF,FF,00,00,
28315677,0000013A,false,Rx,0,8,DE,F3,00,00,00,0E,FF,FF,
28315949,000000C3,false,Rx,0,8,47,72,00,40,00,7D,FF,FF,
28317339,00000112,false,Rx,0,8,FA,1F,B1,0D,C6,71,05,58,
28317587,000001FA,false,Rx,0,8,41,65,45,70,4B,4D,4A,4C,
28319051,00000199,false,Rx,0,6,FF,FF,58,7F,FF,3F,00,00,
28319258,0000019A,false,Rx,0,6,FF,FF,58,7F,FF,3F,00,00,
28319465,0000019F,false,Rx,0,6,FF,FF,F1,7F,FF,2F,00,00,
28319715,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
28319841,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
28320078,00000302,false,Rx,0,7,FF,FF,D4,80,FE,FF,FF,00,
28320955,0000051A,false,Rx,0,8,00,00,00,00,50,00,00,1A,
28322986,00000100,false,Rx,0,8,94,FE,7F,C0,5D,D9,86,70,
28324188,000002C4,false,Rx,0,8,00,00,FF,00,C8,64,FF,CF,
28324428,000000A5,false,Rx,0,8,B4,F1,FF,F7,7F,00,00,C1,
28324553,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
28324801,000000D9,false,Rx,0,8,F8,F1,00,10,00,F0,7F,C0,
28325043,000000EF,false,Rx,0,8,E8,F8,00,7D,21,FF,7C,FF,
28325281,000000F3,false,Rx,0,8,D6,01,00,FF,F0,C0,FF,FF,
28325519,00000140,false,Rx,0,8,31,64,40,9C,00,00,94,FF,
