Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
61070866,00000328,false,Rx,0,6,98,4C,57,0E,94,1E,00,00,
61071681,00000201,false,Rx,0,8,20,3E,20,3E,FF,FF,FF,FF,
61071919,00000112,false,Rx,0,8,F7,1F,7E,0E,96,71,15,5D,
61072149,00000432,false,Rx,0,8,FC,E7,10,AA,5A,FF,01,FF,
61072808,000000EF,false,Rx,0,8,81,F5,00,7D,21,FE,7C,FF,
61073362,000001A1,false,Rx,0,5,95,C0,00,00,81,00,00,00,
61075491,00000272,false,Rx,0,8,E6,F3,FC,02,FF,FF,FF,FF,
61078474,00000100,false,Rx,0,8,AA,FD,7F,C0,5D,3F,87,70,
61079630,000000A5,false,Rx,0,8,80,F4,FF,F7,7F,00,00,C1,
61079756,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
61079997,000000D9,false,Rx,0,8,CC,F4,00,10,00,F0,7F,C0,
61080237,000000F3,false,Rx,0,8,E2,04,00,FF,F0,C0,FF,FF,
61080426,0000036E,false,Rx,0,5,73,F3,FE,FF,14,00,00,00,
61081890,00000112,false,Rx,0,8,F7,1F,7E,0E,96,71,15,5D,
61082815,0000015F,false,Rx,0,8,76,F5,00,7D,00,EE,00,7D,
61084846,0000013A,false,Rx,0,8,64,F1,00,00,00,0E,FF,FF,
61086254,000000A9,false,Rx,0,8,60,78,00,90,F1,00,00,FF,
61086618,00000199,false,Rx,0,6,FF,FF,88,7E,FF,3F,00,00,
61086817,0000019A,false,Rx,0,6,FF,FF,37,7F,FF,2F,00,00,
61087027,0000019F,false,Rx,0,6,FF,FF,01,80,FF,2F,00,00,
61087268,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
61087404,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
61088479,00000100,false,Rx,0,8,4D,FE,7F,C0,5D,3F,87,70,
61090948,00000096,false,Rx,0,8,58,00,68,96,01,FF,FF,FF,
61091153,000001E1,false,Rx,0,6,42,F0,01,FF,FF,FF,00,00,
61091571,00000302,false,Rx,0,7,FF,FF,FD,9C,F1,FF,FF,00,
61091886,00000112,false,Rx,0,8,F7,1F,7E,0E,96,71,15,5D,
61092106,00000197,false,Rx,0,4,89,00,0E,C0,00,00,00,00,
61092806,000000EF,false,Rx,0,8,66,F6,00,7D,21,FE,7C,FF,
61093363,000001A1,false,Rx,0,5,B2,C2,00,00,81,00,00,00,
61096195,000002A1,false,Rx,0,5,00,58,02,00,F0,00,00,00,
61098735,00000100,false,Rx,0,8,4C,F0,7F,C0,5D,3F,87,70,
61099586,000002C4,false,Rx,0,8,00,00,FF,00,C8,64,FF,CF,
61099828,000000A5,false,Rx,0,8,DD,F5,FF,F7,7F,00,00,C1,
61099956,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
61100195,000000D9,false,Rx,0,8,91,F5,00,10,00,F0,7F,C0,
61100436,000000F3,false,Rx,0,8,BF,05,00,FF,F0,C0,FF,FF,
61100679,00000289,false,Rx,0,8,3D,F4,E0,FF,FD,00,EC,01,
61100867,000002BB,false,Rx,0,5,49,F3,00,00,F2,00,00,00,
61101115,0000031C,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,FF,
61101325,0000033B,false,Rx,0,6,00,FF,FF,FF,FF,FF,00,00,
61101682,00000206,false,Rx,0,8,3D,2C,5A,FF,FF,FF,FF,FF,
61101912,00000112,false,Rx,0,8,F7,1F,7E,0E,96,71,15,5D,
61102821,0000015F,false,Rx,0,8,91,F6,00,7D,00,EE,00,7D,
61103525,00000301,false,Rx,0,7,FF,FF,DD,96,FF,FF,2F,00,
61104789,0000013A,false,Rx,0,8,DE,F3,00,00,00,0E,FF,FF,
61106579,00000199,false,Rx,0,6,FF,FF,92,7E,FF,3F,00,00,
61106780,0000019A,false,Rx,0,6,FF,FF,2D,7F,FF,2F,00,00,
61106990,0000019F,false,Rx,0,6,FF,FF,F8,7F,FF,2F,00,00,
61107240,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
61107366,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
61108650,00000100,false,Rx,0,8,11,F1,7F,C0,5D,3F,87,70,
61110986,000007BE,false,Rx,0,8,0B,00,00,00,00,00,00,00,
61111890,000002E8,false,Rx,0,8,C0,18,C5,FF,FF,F4,F1,B9,
61112120,00000112,false,Rx,0,8,F7,1F,7E,0E,96,71,15,5D,
61112811,000000EF,false,Rx,0,8,3B,F7,00,7D,21,FE,7C,FF,
61113355,000001A1,false,Rx,0,5,DB,C4,00,00,81,00,00,00,
61116219,000002B0,false,Rx,0,6,3C,46,04,CD,FF,FF,00,00,
61118707,00000100,false,Rx,0,8,F6,F2,7F,C0,5D,3F,87,70,
61119622,000000A5,false,Rx,0,8,3A,F6,FF,F7,7F,00,00,C1,
61119748,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
61119989,000000D9,false,Rx,0,8,76,F6,00,10,00,F0,7F,C0,
61120229,000000F3,false,Rx,0,8,58,06,00,FF,F0,C0,FF,FF,
61120408,000002A7,false,Rx,0,5,5C,F5,FE,FF,14,00,00,00,
61120638,00000096,false,Rx,0,8,58,00,68,96,01,FF,FF,FF,
61120828,00000349,false,Rx,0,5,FE,FF,3E,08,00,00,00,00,
61121048,000002C5,false,Rx,0,7,82,FA,00,70,04,70,C8,00,
61121695,00000201,false,Rx,0,8,30,3E,30,3E,FF,FF,FF,FF,
61121925,00000112,false,Rx,0,8,F7,1F,7E,0E,96,71,15,5D,
61122114,00000197,false,Rx,0,4,06,01,0E,C0,00,00,00,00,
61122345,000002F5,false,Rx,0,8,71,0F,60,29,22,0A,06,10,
61122805,0000015F,false,Rx,0,8,CC,F7,00,7D,00,EE,00,7D,
61124854,0000013A,false,Rx,0,8,0D,F5,00,00,00,0E,FF,FF,
61126580,00000199,false,Rx,0,6,FF,FF,92,7E,FF,3F,00,00,
61126780,0000019A,false,Rx,0,6,FF,FF,23,7F,FF,2F,00,00,
61126990,0000019F,false,Rx,0,6,FF,FF,13,80,FF,2F,00,00,
61127251,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
61127367,00000258,false,Rx,0,2,11,11,00,00,00,00,00,00,
61128473,00000100,false,Rx,0,8,AB,F3,7F,C0,5D,3F,87,70,
61130674,000002A5,false,Rx,0,2,FE,FE,00,00,00,00,00,00,
61131503,00000302,false,Rx,0,7,FF,FF,FD,9C,F1,FF,FF,00,
61131869,00000112,false,Rx,0,8,F7,1F,7E,0E,96,71,15,5D,
61132110,000005C0,false,Rx,0,8,6E,04,00,FC,FF,FF,FF,FF,
61132811,000000EF,false,Rx,0,8,67,F8,00,7D,21,FE,7C,FF,
61133356,000001A1,false,Rx,0,5,FC,C6,00,00,81,00,00,00,
61138720,00000100,false,Rx,0,8,25,F4,7F,C0,5D,3F,87,70,
61139436,000000A5,false,Rx,0,8,67,F7,FF,F7,7F,00,00,C1,
61139572,000000AC,false,Rx,0,2,00,F0,00,00,00,00,00,00,
61139813,000000D9,false,Rx,0,8,2B,F7,00,10,00,F0,7F,C0,
61140055,000000F3,false,Rx,0,8,05,07,00,FF,F0,C0,FF,FF,
61140296,0000019B,false,Rx,0,8,AE,47,40,55,FD,FF,FF,FF,
61140536,000002AE,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,00,
61141682,00000206,false,Rx,0,8,60,2D,5A,FF,FF,FF,FF,FF,
61141912,00000112,false,Rx,0,8,F7,1F,7E,0E,96,71,15,5D,
61142808,0000015F,false,Rx,0,8,90,F8,00,7D,00,EE,00,7D,
61144790,0000013A,false,Rx,0,8,B7,F7,00,00,00,0E,FF,FF,
61146634,00000163,false,Rx,0,8,FF,FF,12,25,FF,FF,FF,FF,
61146862,00000173,false,Rx,0,8,F6,F1,00,02,20,00,D2,10,
61147061,00000199,false,Rx,0,6,FF,FF,92,7E,FF,3F,00,00,
61147270,0000019A,false,Rx,0,6,FF,FF,19,7F,FF,2F,00,00,
61147479,0000019F,false,Rx,0,6,FF,FF,13,80,FF,2F,00,00,
