Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1614677371665900,00000337,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
-1614677371665601,000003B4,false,Rx,0,8,00,00,0C,F1,98,FF,00,FD,
-1614677371625709,00000272,false,Rx,0,8,71,F1,00,12,FF,FF,FF,FF,
-1614677371625495,00000390,false,Rx,0,4,F0,FF,FF,FF,00,00,00,00,
-1614677371560686,00000514,false,Rx,0,8,00,00,00,00,00,00,00,14,
-1614677371465412,000003B4,false,Rx,0,8,00,00,0C,F1,98,FF,00,FD,
-1614677371425392,00000272,false,Rx,0,8,96,F2,00,12,FF,FF,FF,FF,
-1614677371265096,000003B4,false,Rx,0,8,00,00,0C,F1,98,FF,00,FD,
-1614677371225032,00000272,false,Rx,0,8,CB,F3,00,12,FF,FF,FF,FF,
-1614677371064736,000003B4,false,Rx,0,8,00,00,0C,F1,98,FF,00,FD,
-1614677371024715,00000272,false,Rx,0,8,45,F4,00,12,FF,FF,FF,FF,
-1614677370919632,00000514,false,Rx,0,8,00,00,00,00,00,00,00,14,
-1614677370864422,000003B4,false,Rx,0,8,00,00,0C,F1,98,FF,00,FD,
-1614677370824359,00000272,false,Rx,0,8,18,F5,00,12,FF,FF,FF,FF,
-1614677370669183,00000614,false,Rx,0,8,F0,10,0A,62,17,04,80,55,
-1614677370664191,00000337,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
-1614677370663935,000003B4,false,Rx,0,8,00,00,0C,F1,98,FF,00,FD,
-1614677370624042,00000272,false,Rx,0,8,FF,F6,00,12,FF,FF,FF,FF,
-1614677370463746,000003B4,false,Rx,0,8,00,00,0C,F1,98,FF,00,FD,
-1614677370423682,00000272,false,Rx,0,8,A2,F7,00,12,FF,FF,FF,FF,
-1614677370353539,000003B4,false,Rx,0,8,00,00,0C,F1,98,FF,00,FE,
-1614677370323503,00000272,false,Rx,0,8,86,F8,60,12,FF,FF,FF,FF,
-1614677370278490,00000514,false,Rx,0,8,00,00,00,00,00,00,00,14,
-1614677370263386,000003B4,false,Rx,0,8,00,00,0C,F1,98,FF,00,FE,
-1614677370223365,00000272,false,Rx,0,8,DB,F9,60,12,FF,FF,FF,FF,
-1614677370063069,000003B4,false,Rx,0,8,00,00,0C,F1,98,FF,00,FE,
-1614677370023006,00000272,false,Rx,0,8,3C,FA,60,12,FF,FF,FF,FF,
-1614677369862718,000003B4,false,Rx,0,8,00,00,0C,F1,98,FF,00,FE,
-1614677369822654,00000272,false,Rx,0,8,61,FB,60,12,FF,FF,FF,FF,
-1614677369662486,00000337,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
-1614677369662230,000003B4,false,Rx,0,8,00,00,0C,F1,98,FF,00,FE,
-1614677369637441,00000514,false,Rx,0,8,00,00,00,00,00,00,00,14,
-1614677369622338,00000272,false,Rx,0,8,EF,FC,60,12,FF,FF,FF,FF,
-1614677369462041,000003B4,false,Rx,0,8,00,00,0C,F1,98,FF,00,FE,
-1614677369421978,00000272,false,Rx,0,8,B2,FD,60,12,FF,FF,FF,FF,
-1614677369261725,000003B4,false,Rx,0,8,00,00,0C,F1,98,FF,00,FE,
-1614677369221661,00000272,false,Rx,0,8,55,FE,60,12,FF,FF,FF,FF,
-1614677369061365,000003B4,false,Rx,0,8,00,00,0C,F1,98,FF,00,FE,
-1614677369021302,00000272,false,Rx,0,8,54,F0,60,12,FF,FF,FF,FF,
