Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4307017484,00000510,false,Rx,0,8,40,10,01,00,00,00,00,00,
4307019358,00000337,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4307019642,000003B4,false,Rx,0,8,00,00,0C,F0,B8,FF,00,FD,
4307044737,000001AE,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4307049964,000003A0,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,FD,
4307053456,0000012F,false,Rx,0,8,50,01,0A,00,C0,00,38,00,
4307053958,0000003C,false,Rx,0,8,FF,7F,00,00,00,00,FF,FF,
4307054218,000001E1,false,Rx,0,6,0F,F1,03,FF,FF,FF,00,00,
4307057503,000002FC,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,FF,
4307058079,000001F6,false,Rx,0,2,80,F0,00,00,00,00,00,00,
4307059826,00000272,false,Rx,0,8,71,F1,00,12,FF,FF,FF,FF,
4307060035,00000390,false,Rx,0,4,F0,FF,FF,FF,00,00,00,00,
4307072564,000003BE,false,Rx,0,3,FE,FF,FC,00,00,00,00,00,
4307072704,000003AC,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4307076534,000002A0,false,Rx,0,8,88,88,F8,FF,FF,FF,FF,FF,
4307077151,000003D8,false,Rx,0,8,A0,FF,FF,FF,FF,FF,FF,FF,
4307078214,0000012F,false,Rx,0,8,B7,02,0A,00,C0,00,38,00,
4307080873,000001D6,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4307081014,000001EE,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4307081149,000002A6,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4307081283,000002CF,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4307081469,00000349,false,Rx,0,5,FE,FF,FE,FF,00,00,00,00,
4307081605,00000252,false,Rx,0,2,CF,FF,00,00,00,00,00,00,
4307083812,00000314,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
4307083936,0000036A,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
4307086738,000002D1,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4307088187,000005C0,false,Rx,0,8,40,2B,03,05,FF,FF,FF,FF,
4307090391,0000031E,false,Rx,0,8,44,44,49,FF,78,FF,FF,FF,
4307091367,000001D6,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4307091503,000002A5,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4307091688,00000226,false,Rx,0,5,FF,FF,FF,F0,FF,00,00,00,
4307091854,00000346,false,Rx,0,4,B9,D0,70,F0,00,00,00,00,
4307092062,00000380,false,Rx,0,7,56,42,38,37,39,32,36,00,
4307092280,00000388,false,Rx,0,7,37,33,00,28,D1,04,00,00,
4307092467,00000395,false,Rx,0,5,14,08,50,64,FF,00,00,00,
4307092705,000005C0,false,Rx,0,8,6E,19,00,FC,FF,FF,FF,FF,
4307094487,00000202,false,Rx,0,2,FE,FF,00,00,00,00,00,00,
4307096978,0000022A,false,Rx,0,8,0F,FF,FF,FF,FF,FF,FF,FF,
4307097223,00000232,false,Rx,0,8,0F,FF,FF,FF,FF,FF,FF,FF,
4307098193,0000012F,false,Rx,0,8,FE,53,0A,DD,F0,F1,36,41,
4307101979,0000023A,false,Rx,0,8,F0,FF,FF,FF,FF,FF,FF,FF,
4307103884,0000021A,false,Rx,0,3,00,3C,F7,00,00,00,00,00,
4307104128,000005C0,false,Rx,0,8,08,04,00,FE,FF,FF,FF,FF,
4307108082,000001F6,false,Rx,0,2,80,F0,00,00,00,00,00,00,
4307111528,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
4307117711,0000003C,false,Rx,0,8,FF,7F,00,00,00,00,FF,FF,
4307118193,0000012F,false,Rx,0,8,CB,54,8A,DD,F1,31,36,C1,
4307124440,00000514,false,Rx,0,8,00,00,00,00,00,00,00,14,
4307125664,00000510,false,Rx,0,8,40,10,80,00,00,00,00,00,
4307131409,0000034F,false,Rx,0,2,FC,FF,00,00,00,00,00,00,
4307141425,0000036A,false,Rx,0,2,F5,FF,00,00,00,00,00,00,
4307141668,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
4307144757,000001AE,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4307158084,000001F6,false,Rx,0,2,80,F0,00,00,00,00,00,00,
4307171550,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
4307181394,000003AC,false,Rx,0,2,FE,CF,00,00,00,00,00,00,
4307181637,000002FC,false,Rx,0,8,81,03,05,FF,FF,FF,FF,FF,
4307191448,00000314,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
