Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4326954164,00000510,false,Rx,0,8,40,10,01,00,00,00,00,00,
4326957093,00000337,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4326957367,000003B4,false,Rx,0,8,00,00,0C,F0,B8,FF,00,FD,
4326981416,000001AE,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4326986644,000003A0,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,FD,
4326990217,0000012F,false,Rx,0,8,50,01,0A,00,C0,00,38,00,
4326990719,0000003C,false,Rx,0,8,FF,7F,00,00,00,00,FF,FF,
4326991010,000001E1,false,Rx,0,6,0F,F1,03,FF,FF,FF,00,00,
4326994213,000002FC,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,FF,
4326994849,000001F6,false,Rx,0,2,80,F0,00,00,00,00,00,00,
4326997216,00000272,false,Rx,0,8,71,F1,00,12,FF,FF,FF,FF,
4326997423,00000390,false,Rx,0,4,F0,FF,FF,FF,00,00,00,00,
4327009293,000003BE,false,Rx,0,3,FE,FF,FC,00,00,00,00,00,
4327009423,000003AC,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4327013241,000002A0,false,Rx,0,8,88,88,F8,FF,FF,FF,FF,FF,
4327013877,000003D8,false,Rx,0,8,A0,FF,FF,FF,FF,FF,FF,FF,
4327014970,0000012F,false,Rx,0,8,B7,02,0A,00,C0,00,38,00,
4327017569,000001D6,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4327017709,000001EE,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4327017844,000002A6,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4327017978,000002CF,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4327018165,00000349,false,Rx,0,5,FE,FF,FE,FF,00,00,00,00,
4327018299,00000252,false,Rx,0,2,CF,FF,00,00,00,00,00,00,
4327020496,00000314,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
4327020632,0000036A,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
4327023525,000002D1,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4327024953,000005C0,false,Rx,0,8,40,2B,03,05,FF,FF,FF,FF,
4327027178,0000031E,false,Rx,0,8,44,44,49,FF,78,FF,FF,FF,
4327028154,000001D6,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4327028288,000002A5,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4327028475,00000226,false,Rx,0,5,FF,FF,FF,F0,FF,00,00,00,
4327028641,00000346,false,Rx,0,4,B9,D0,70,F0,00,00,00,00,
4327028847,00000380,false,Rx,0,7,56,42,38,37,39,32,36,00,
4327029066,00000388,false,Rx,0,7,37,33,00,28,D1,04,00,00,
4327029254,00000395,false,Rx,0,5,14,08,50,64,FF,00,00,00,
4327029492,000005C0,false,Rx,0,8,6E,19,00,FC,FF,FF,FF,FF,
4327031233,00000202,false,Rx,0,2,FE,FF,00,00,00,00,00,00,
4327033692,0000022A,false,Rx,0,8,0F,FF,FF,FF,FF,FF,FF,FF,
4327033936,00000232,false,Rx,0,8,0F,FF,FF,FF,FF,FF,FF,FF,
4327034958,0000012F,false,Rx,0,8,FE,53,0A,DD,F0,F1,36,41,
4327038756,0000023A,false,Rx,0,8,F0,FF,FF,FF,FF,FF,FF,FF,
4327040723,0000021A,false,Rx,0,3,00,3C,F7,00,00,00,00,00,
4327040965,000005C0,false,Rx,0,8,08,04,00,FE,FF,FF,FF,FF,
4327044848,000001F6,false,Rx,0,2,80,F0,00,00,00,00,00,00,
4327048285,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
4327054394,0000003C,false,Rx,0,8,FF,7F,00,00,00,00,FF,FF,
4327054958,0000012F,false,Rx,0,8,CB,54,8A,DD,F1,31,36,C1,
4327062224,00000514,false,Rx,0,8,00,00,00,00,00,00,00,14,
4327062468,00000510,false,Rx,0,8,40,10,80,00,00,00,00,00,
4327068176,0000034F,false,Rx,0,2,FC,FF,00,00,00,00,00,00,
4327078193,0000036A,false,Rx,0,2,F5,FF,00,00,00,00,00,00,
4327078437,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
4327081433,000001AE,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4327094843,000001F6,false,Rx,0,2,80,F0,00,00,00,00,00,00,
4327108311,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
4327118152,000003AC,false,Rx,0,2,FE,CF,00,00,00,00,00,00,
4327118396,000002FC,false,Rx,0,8,81,03,05,FF,FF,FF,FF,FF,
4327128218,00000314,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
4327128492,000005C0,false,Rx,0,8,6E,1A,00,FC,FF,FF,FF,FF,
4327134955,0000012F,false,Rx,0,8,96,55,8A,DD,F1,31,36,C1,
4327138311,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
4327138473,00000346,false,Rx,0,4,1E,E1,70,F0,00,00,00,00,
4327154251,000000C0,false,Rx,0,2,F1,40,00,00,00,00,00,00,
4327154505,0000003C,false,Rx,0,8,FF,7F,00,00,00,00,FF,FF,
4327154928,000001E1,false,Rx,0,6,B1,F2,03,FF,FF,FF,00,00,
4327157361,000003B4,false,Rx,0,8,00,00,0C,F0,B8,FF,00,FD,
4327162399,00000510,false,Rx,0,8,40,10,80,00,00,00,00,00,
4327168148,000003BE,false,Rx,0,3,FE,FF,FC,00,00,00,00,00,
4327168380,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
4327173590,000002A0,false,Rx,0,8,88,88,F8,0F,FF,FF,FF,FF,
4327178198,00000252,false,Rx,0,2,CF,FF,00,00,00,00,00,00,
4327181426,000001AE,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4327187359,000003A0,false,Rx,0,8,FF,FF,CF,FF,FF,FF,FF,FD,
4327188171,00000395,false,Rx,0,5,14,08,50,64,FF,00,00,00,
4327188306,00000202,false,Rx,0,2,FE,FF,00,00,00,00,00,00,
4327188512,00000380,false,Rx,0,7,56,42,38,37,39,32,36,00,
4327188729,00000388,false,Rx,0,7,37,33,00,28,D1,04,00,00,
4327193919,0000031E,false,Rx,0,8,44,44,49,FF,78,FF,FF,FF,
4327197357,00000272,false,Rx,0,8,96,F2,00,12,FF,FF,FF,FF,
4327198149,0000021A,false,Rx,0,3,00,3C,F7,00,00,00,00,00,
4327198386,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
4327198635,0000023A,false,Rx,0,8,F0,FF,FF,FF,FF,FF,FF,FF,
4327198874,000005C0,false,Rx,0,8,08,04,00,FE,FF,FF,FF,FF,
4327218223,00000349,false,Rx,0,5,FE,FF,FE,FF,00,00,00,00,
4327223659,000003D8,false,Rx,0,8,03,FF,FF,FF,FF,FF,FF,FF,
4327228206,000002A5,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4327228448,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
4327228686,000005C0,false,Rx,0,8,6E,05,00,FC,FF,FF,FF,FF,
4327234958,0000012F,false,Rx,0,8,71,56,8A,DD,F1,31,36,C1,
4327238302,00000314,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
4327238432,0000036A,false,Rx,0,2,F5,FF,00,00,00,00,00,00,
4327254399,0000003C,false,Rx,0,8,FF,7F,00,00,00,00,FF,FF,
4327258623,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
4327268052,00000540,false,Rx,0,8,00,00,00,00,3B,00,FF,40,
4327278225,000003AC,false,Rx,0,2,FE,CF,00,00,00,00,00,00,
4327278477,000002FC,false,Rx,0,8,81,03,05,FF,FF,FF,FF,FF,
4327281422,000001AE,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4327288388,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
4327314926,000001E1,false,Rx,0,6,DB,F3,03,FF,FF,FF,00,00,
4327318362,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
4327324930,000001E1,false,Rx,0,6,D0,F4,03,FF,FF,FF,00,00,
4327328284,000003BE,false,Rx,0,3,FE,FF,FC,00,00,00,00,00,
4327328588,000005C0,false,Rx,0,8,6E,04,00,FC,FF,FF,FF,FF,
4327333777,000002A0,false,Rx,0,8,88,88,F8,0F,FF,FF,FF,FF,
4327334960,0000012F,false,Rx,0,8,2C,57,8A,DD,F1,31,36,C1,
4327338187,00000252,false,Rx,0,2,CF,FF,00,00,00,00,00,00,
4327340585,0000021A,false,Rx,0,3,05,1E,F7,00,00,00,00,00,
4327340828,000005C0,false,Rx,0,8,08,04,00,FD,FF,FF,FF,FF,
4327348152,00000395,false,Rx,0,5,14,08,50,64,FF,00,00,00,
4327348386,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
4327348521,00000202,false,Rx,0,2,FE,FF,00,00,00,00,00,00,
4327348677,00000314,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
4327348894,00000380,false,Rx,0,7,56,42,38,37,39,32,36,00,
4327349113,00000388,false,Rx,0,7,37,33,00,28,D1,04,00,00,
4327354251,000000C0,false,Rx,0,2,F2,40,00,00,00,00,00,00,
4327354504,0000003C,false,Rx,0,8,FF,7F,00,00,00,00,FF,FF,
4327357479,000003B4,false,Rx,0,8,00,00,0C,F0,B8,FF,00,FD,
4327358394,0000023A,false,Rx,0,8,F0,FF,FF,FF,FF,FF,FF,FF,
4327363604,0000031E,false,Rx,0,8,44,44,49,FF,78,FF,FF,FF,
4327378305,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
4327381421,000001AE,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4327397499,00000272,false,Rx,0,8,CB,F3,00,12,FF,FF,FF,FF,
4327398167,0000021A,false,Rx,0,3,85,1E,F7,00,00,00,00,00,
4327398291,0000036A,false,Rx,0,2,F5,FF,00,00,00,00,00,00,
4327408157,00000202,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
4327408390,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
4327414097,000005C0,false,Rx,0,8,40,12,00,29,FF,FF,FF,FF,
4327418311,00000349,false,Rx,0,5,FE,FF,FE,FF,00,00,00,00,
4327428224,000002A5,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4327428601,000005C0,false,Rx,0,8,6E,01,00,FD,FF,FF,FF,FF,
4327434961,0000012F,false,Rx,0,8,70,58,8A,DD,F1,31,36,C1,
4327438150,000003AC,false,Rx,0,2,FE,CF,00,00,00,00,00,00,
4327438382,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
4327438632,000002FC,false,Rx,0,8,81,03,05,FF,FF,FF,FF,FF,
4327447523,00000272,false,Rx,0,8,C9,F4,02,12,FF,FF,FF,FF,
4327454391,0000003C,false,Rx,0,8,FF,7F,00,00,00,00,FF,FF,
4327468294,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
4327481422,000001AE,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
4327493851,000002A0,false,Rx,0,8,88,88,F8,0F,FF,FF,FF,FF,
4327498284,00000096,false,Rx,0,8,58,00,36,C7,01,FF,FF,FF,
